Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Singularity,ATK,13,16,Vertigo
Team1,Singularity,ATK,14,16,Inferno
Team1,Singularity,ATK,16,7,Train
Team1,Singularity,ATK,17,19,Train
Team1,Singularity,AVEZ,6,16,Overpass
Team1,Singularity,BLITZKRIEG,16,10,Inferno
Team1,Singularity,BLUEJAYS,16,11,Dust2
Team1,Singularity,Bad News Bears,16,11,Mirage
Team1,Singularity,Bad News Bears,16,7,Overpass
Team1,Singularity,Bad News Bears,19,17,Inferno
Team1,Singularity,Bad News Bears,4,16,Mirage
Team1,Singularity,Bad News Bears,4,16,Overpass
Team1,Singularity,Big Frames,16,14,Overpass
Team1,Singularity,Big Frames,16,6,Nuke
Team1,Singularity,Big Frames,16,7,Mirage
Team1,Singularity,Chaos,16,9,Overpass
Team1,Singularity,Chris and the boys,16,13,Inferno
Team1,Singularity,Chris and the boys,16,5,Overpass
Team1,Singularity,Complexity,5,16,Overpass
Team1,Singularity,Complexity,6,16,Mirage
Team1,Singularity,Cyclone,16,2,Overpass
Team1,Singularity,Envy,19,15,Train
Team1,Singularity,Envy,5,16,Dust2
Team1,Singularity,Espada,9,16,Dust2
Team1,Singularity,FASTLOSE,16,11,Mirage
Team1,Singularity,FURIA,16,10,Overpass
Team1,Singularity,Hot Ass,16,10,Overpass
Team1,Singularity,INTZ,16,14,Mirage
Team1,Singularity,INTZ,19,15,Inferno
Team1,Singularity,INTZ,9,16,Mirage
Team1,Singularity,Infinity,16,12,Mirage
Team1,Singularity,Just For Fun,3,16,Train
Team1,Singularity,Just Swing,16,9,Mirage
Team1,Singularity,Lazarus,10,16,Vertigo
Team1,Singularity,Lazarus,16,11,Mirage
Team1,Singularity,LiViD,19,15,Nuke
Team1,Singularity,LiViD,19,16,Train
Team1,Singularity,Liquid,3,16,Inferno
Team1,Singularity,Luminosity,16,10,Inferno
Team1,Singularity,Luminosity,2,16,Cache
Team1,Singularity,Luminosity,8,16,Dust2
Team1,Singularity,MIBR,16,14,Mirage
Team1,Singularity,MIBR,5,16,Overpass
Team1,Singularity,Mustang Crew,16,12,Vertigo
Team1,Singularity,Mustang Crew,19,15,Dust2
Team1,Singularity,Mythic,16,11,Nuke
Team1,Singularity,NRG,3,16,Train
Team1,Singularity,NRG,5,16,Mirage
Team1,Singularity,NRG,6,16,Inferno
Team1,Singularity,New Identity,12,16,Overpass
Team1,Singularity,New Identity,7,16,Inferno
Team1,Singularity,Nova,16,9,Vertigo
Team1,Singularity,PACT,9,16,Dust2
Team1,Singularity,Party Astronauts,16,13,Dust2
Team1,Singularity,Polar Ace,13,16,Vertigo
Team1,Singularity,Polar Ace,16,10,Inferno
Team1,Singularity,Rap Gang,16,10,Train
Team1,Singularity,Rap Gang,16,9,Inferno
Team1,Singularity,Revolution,16,1,Dust2
Team1,Singularity,Riot Squad,16,14,Mirage
Team1,Singularity,Riot Squad,6,16,Train
Team1,Singularity,Riot Squad,8,16,Dust2
Team1,Singularity,Rugratz,16,10,Overpass
Team1,Singularity,Rugratz,16,14,Overpass
Team1,Singularity,Rugratz,16,19,Nuke
Team1,Singularity,SMASH,16,14,Overpass
Team1,Singularity,Secret,16,10,Mirage
Team1,Singularity,Secret,4,16,Nuke
Team1,Singularity,Sharks,6,16,Vertigo
Team1,Singularity,Sharks,8,16,Nuke
Team1,Singularity,Spirit,16,14,Vertigo
Team1,Singularity,Spirit,7,16,Nuke
Team1,Singularity,Spirit,9,16,Mirage
Team1,Singularity,Swole Patrol,11,16,Overpass
Team1,Singularity,Söderberg & Partners,19,17,Nuke
Team1,Singularity,TeamOne,11,16,Inferno
Team1,Singularity,TeamOne,16,12,Nuke
Team1,Singularity,TeamOne,16,12,Train
Team1,Singularity,TeamOne,16,13,Train
Team1,Singularity,Tricked,16,19,Inferno
Team1,Singularity,Valiance,17,19,Mirage
Team1,Singularity,Valiance,9,16,Inferno
Team1,Singularity,Variance,16,10,Overpass
Team1,Singularity,Variance,19,17,Mirage
Team1,Singularity,Wisla Krakow,16,12,Nuke
Team1,Singularity,eUnited,10,16,Inferno
Team1,Singularity,eUnited,13,16,Nuke
Team1,Singularity,eUnited,2,16,Overpass
Team1,Singularity,eUnited,6,16,Overpass
Team1,Singularity,iNTACT,16,11,Dust2
Team1,Singularity,sAw,16,12,Nuke
Team2,Singularity,ATK,12,16,Inferno
Team2,Singularity,ATK,13,16,Inferno
Team2,Singularity,ATK,16,7,Inferno
Team2,Singularity,ATK,16,8,Train
Team2,Singularity,ATK,16,9,Inferno
Team2,Singularity,AVEZ,13,16,Nuke
Team2,Singularity,Ascent,16,3,Nuke
Team2,Singularity,Bad News Bears,11,16,Train
Team2,Singularity,Bad News Bears,13,16,Nuke
Team2,Singularity,Big Frames,16,3,Mirage
Team2,Singularity,Chaos,16,7,Nuke
Team2,Singularity,Chris and the boys,16,3,Nuke
Team2,Singularity,Chris and the boys,16,7,Nuke
Team2,Singularity,Chris and the boys,16,9,Nuke
Team2,Singularity,Cloud9,13,16,Nuke
Team2,Singularity,Complexity,10,16,Overpass
Team2,Singularity,Cyclone,16,8,Nuke
Team2,Singularity,Demolition Crew,10,16,Dust2
Team2,Singularity,Envy,16,9,Mirage
Team2,Singularity,FASTLOSE,14,16,Vertigo
Team2,Singularity,FASTLOSE,16,4,Overpass
Team2,Singularity,FURIA,12,16,Nuke
Team2,Singularity,FURIA,15,19,Overpass
Team2,Singularity,Final Feature,14,16,Mirage
Team2,Singularity,Forty Six and 2,16,9,Inferno
Team2,Singularity,GamerLegion,12,16,Nuke
Team2,Singularity,Illuminar,14,16,Mirage
Team2,Singularity,Infamous,13,16,Nuke
Team2,Singularity,Infinity,16,3,Overpass
Team2,Singularity,Just Swing,14,16,Train
Team2,Singularity,LiViD,16,5,Nuke
Team2,Singularity,Luminosity,11,16,Mirage
Team2,Singularity,MASSIVEimpact,16,7,Inferno
Team2,Singularity,MIBR,12,16,Nuke
Team2,Singularity,Movistar Riders,12,16,Mirage
Team2,Singularity,Mustang Crew,14,16,Nuke
Team2,Singularity,Mythic,16,5,Overpass
Team2,Singularity,Mythic,16,7,Dust2
Team2,Singularity,NRG,16,7,Nuke
Team2,Singularity,Nemiga,22,25,Overpass
Team2,Singularity,New Identity,10,16,Nuke
Team2,Singularity,Nordavind,13,16,Overpass
Team2,Singularity,Nova,16,9,Overpass
Team2,Singularity,Party Astronauts,16,9,Vertigo
Team2,Singularity,Peeker's Advantage,16,3,Vertigo
Team2,Singularity,Polar Ace,16,8,Nuke
Team2,Singularity,Recon 5,16,6,Inferno
Team2,Singularity,Revolution,16,2,Inferno
Team2,Singularity,SJ,16,9,Vertigo
Team2,Singularity,SKADE,12,16,Mirage
Team2,Singularity,SMASH,11,16,Dust2
Team2,Singularity,Secret,10,16,Nuke
Team2,Singularity,Sharks,16,7,Nuke
Team2,Singularity,Swole Patrol,16,4,Mirage
Team2,Singularity,Swole Patrol,16,6,Inferno
Team2,Singularity,Söderberg & Partners,10,16,Vertigo
Team2,Singularity,Söderberg & Partners,12,16,Mirage
Team2,Singularity,TeamOne,16,5,Dust2
Team2,Singularity,The Fundamentals,16,2,Overpass
Team2,Singularity,Thunder Logic,12,16,Nuke
Team2,Singularity,Thunder Logic,16,3,Overpass
Team2,Singularity,Thunder Logic,16,4,Inferno
Team2,Singularity,Tricked,16,9,Dust2
Team2,Singularity,We Da North,16,2,Train
Team2,Singularity,We Da North,16,2,Vertigo
Team2,Singularity,eUnited,10,16,Mirage
Team2,Singularity,eUnited,12,16,Inferno
Team2,Singularity,iNTACT,16,5,Mirage
Team2,Singularity,iNTACT,16,9,Inferno
Team2,Singularity,sAw,10,16,Dust2
Team2,Singularity,sAw,10,16,Vertigo
