Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Breakaway,AVANT,16,14,Overpass
Team1,Breakaway,Athletico,11,16,Nuke
Team1,Breakaway,Athletico,19,15,Inferno
Team1,Breakaway,Chiefs,2,16,Dust2
Team1,Breakaway,Chiefs,5,16,Mirage
Team1,Breakaway,Chiefs,7,16,Train
Team1,Breakaway,Fighting 4 Freedom,16,1,Train
Team1,Breakaway,Fighting 4 Freedom,16,5,Nuke
Team1,Breakaway,Grayhound,4,16,Nuke
Team1,Breakaway,MC,16,14,Nuke
Team1,Breakaway,ORDER,25,21,Mirage
Team1,Breakaway,Paradox,11,16,Overpass
Team1,Breakaway,Paradox,16,11,Nuke
Team1,Breakaway,Paradox,16,13,Nuke
Team1,Breakaway,Paradox,16,14,Dust2
Team1,Breakaway,Paradox,19,16,Mirage
Team1,Breakaway,Surge,16,12,Mirage
Team1,Breakaway,Surge,16,6,Overpass
Team1,Breakaway,ex-Paradox,16,1,Overpass
Team2,Breakaway,AVANT,29,31,Inferno
Team2,Breakaway,Astral Influence,16,3,Inferno
Team2,Breakaway,Athletico,10,16,Mirage
Team2,Breakaway,CheeseLTD,16,8,Dust2
Team2,Breakaway,Chiefs,12,16,Inferno
Team2,Breakaway,Content,16,9,Nuke
Team2,Breakaway,Genuine,13,16,Overpass
Team2,Breakaway,Ground Zero,14,16,Mirage
Team2,Breakaway,Ground Zero,17,19,Inferno
Team2,Breakaway,ORDER,12,16,Mirage
Team2,Breakaway,Paradox,16,3,Mirage
Team2,Breakaway,PopoutBoyz,16,6,Train
Team2,Breakaway,Skyfire,16,2,Inferno
