Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Vega Squadron,Chaos,16,14,Mirage
Team1,Vega Squadron,Copenhagen Flames,16,8,Mirage
Team1,Vega Squadron,Copenhagen Flames,8,16,Train
Team1,Vega Squadron,DreamEaters,16,7,Overpass
Team1,Vega Squadron,DreamEaters,7,16,Dust2
Team1,Vega Squadron,HAVU,11,16,Train
Team1,Vega Squadron,HAVU,8,16,Overpass
Team1,Vega Squadron,NiP,19,17,Overpass
Team1,Vega Squadron,NiP,6,16,Train
Team1,Vega Squadron,SJ,9,16,Inferno
Team1,Vega Squadron,Unique,16,10,Dust2
Team1,Vega Squadron,Winstrike,16,10,Overpass
Team1,Vega Squadron,Youngsters,16,14,Inferno
Team2,Vega Squadron,Aristocracy,12,16,Dust2
Team2,Vega Squadron,Aristocracy,13,16,Train
Team2,Vega Squadron,Chaos,17,19,Dust2
Team2,Vega Squadron,NewBALLS,16,9,Train
Team2,Vega Squadron,NorBant,16,4,Overpass
Team2,Vega Squadron,Nordavind,13,16,Dust2
Team2,Vega Squadron,Spirit,10,16,Vertigo
Team2,Vega Squadron,Spirit,11,16,Train
Team2,Vega Squadron,Unique,16,8,Train
Team2,Vega Squadron,Youngsters,11,16,Mirage
Team2,Vega Squadron,Youngsters,16,9,Dust2
