Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Astro,Alpha Red,10,16,Mirage
Team1,Astro,Armory,16,13,Overpass
Team1,Astro,Beyond,8,16,Mirage
Team1,Astro,Beyond,9,16,Dust2
Team1,Astro,Hard4U,12,16,Dust2
Team1,Astro,Hard4U,8,16,Mirage
Team1,Astro,Lucid Dream,8,16,Inferno
Team1,Astro,Maple,7,16,Overpass
Team1,Astro,Paper Rex,6,16,Dust2
Team1,Astro,Paper Rex,8,16,Nuke
Team1,Astro,Se7en,3,16,Inferno
Team1,Astro,Se7en,4,16,Dust2
Team2,Astro,Alpha Red,10,16,Overpass
Team2,Astro,Beyond,10,16,Inferno
Team2,Astro,Beyond,11,16,Dust2
Team2,Astro,Beyond,16,6,Nuke
