Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Heretics,2115,19,17,Inferno
Team1,Heretics,AGO,16,10,Inferno
Team1,Heretics,ALTERNATE aTTaX,9,16,Overpass
Team1,Heretics,AVEZ,16,10,Inferno
Team1,Heretics,AVEZ,22,20,Nuke
Team1,Heretics,Ambush,16,11,Dust2
Team1,Heretics,Ambush,7,16,Overpass
Team1,Heretics,Complexity,22,18,Dust2
Team1,Heretics,Copenhagen Flames,16,10,Overpass
Team1,Heretics,Copenhagen Flames,16,7,Inferno
Team1,Heretics,Copenhagen Flames,9,16,Inferno
Team1,Heretics,Demise,16,12,Mirage
Team1,Heretics,Demise,16,14,Inferno
Team1,Heretics,Demise,19,16,Dust2
Team1,Heretics,Dignitas,16,12,Inferno
Team1,Heretics,Dignitas,16,14,Nuke
Team1,Heretics,DreamEaters,16,13,Inferno
Team1,Heretics,DreamEaters,16,13,Overpass
Team1,Heretics,Endpoint,19,15,Dust2
Team1,Heretics,Espada,10,16,Mirage
Team1,Heretics,Espada,9,16,Dust2
Team1,Heretics,FPL-CTalents,16,11,Inferno
Team1,Heretics,Gambit Youngsters,14,16,Inferno
Team1,Heretics,Gambit Youngsters,16,10,Inferno
Team1,Heretics,Gambit Youngsters,16,14,Dust2
Team1,Heretics,Gambit Youngsters,9,16,Dust2
Team1,Heretics,Gambit Youngsters,9,16,Vertigo
Team1,Heretics,GamerLegion,16,10,Inferno
Team1,Heretics,GamerLegion,16,12,Nuke
Team1,Heretics,GamerLegion,7,16,Dust2
Team1,Heretics,HAVU,10,16,Nuke
Team1,Heretics,HAVU,22,20,Inferno
Team1,Heretics,Illuminar,16,10,Overpass
Team1,Heretics,Illuminar,16,12,Train
Team1,Heretics,Illuminar,16,8,Inferno
Team1,Heretics,Illuminar,19,22,Inferno
Team1,Heretics,Izako Boars,16,10,Nuke
Team1,Heretics,Japaleno,16,8,Dust2
Team1,Heretics,Japaleno,19,16,Inferno
Team1,Heretics,Movistar Riders,16,10,Nuke
Team1,Heretics,Movistar Riders,16,10,Overpass
Team1,Heretics,Movistar Riders,16,11,Inferno
Team1,Heretics,Movistar Riders,16,11,Vertigo
Team1,Heretics,Movistar Riders,16,12,Nuke
Team1,Heretics,Movistar Riders,16,12,Overpass
Team1,Heretics,Movistar Riders,16,13,Inferno
Team1,Heretics,Movistar Riders,16,6,Mirage
Team1,Heretics,Movistar Riders,19,15,Overpass
Team1,Heretics,NOM,16,12,Dust2
Team1,Heretics,NOM,16,12,Mirage
Team1,Heretics,Nemiga,8,16,Mirage
Team1,Heretics,NiP,16,10,Nuke
Team1,Heretics,NiP,16,12,Dust2
Team1,Heretics,NiP,16,12,Inferno
Team1,Heretics,NiP,4,16,Dust2
Team1,Heretics,NiP,4,16,Inferno
Team1,Heretics,NiP,4,16,Vertigo
Team1,Heretics,Nordavind,16,12,Mirage
Team1,Heretics,Nordavind,9,16,Inferno
Team1,Heretics,PACT,13,16,Nuke
Team1,Heretics,PACT,8,16,Dust2
Team1,Heretics,SKADE,12,16,Dust2
Team1,Heretics,SKADE,13,16,Dust2
Team1,Heretics,SKADE,16,14,Nuke
Team1,Heretics,SKADE,19,15,Dust2
Team1,Heretics,SKADE,9,16,Inferno
Team1,Heretics,SMASH,16,8,Dust2
Team1,Heretics,SMASH,16,9,Dust2
Team1,Heretics,SMASH,6,16,Train
Team1,Heretics,SMASH,7,16,Overpass
Team1,Heretics,Secret,13,16,Mirage
Team1,Heretics,Spirit,10,16,Dust2
Team1,Heretics,Spirit,11,16,Nuke
Team1,Heretics,Spirit,16,11,Dust2
Team1,Heretics,Spirit,22,19,Nuke
Team1,Heretics,Spirit,7,16,Mirage
Team1,Heretics,Sprout,10,16,Inferno
Team1,Heretics,Sprout,16,13,Vertigo
Team1,Heretics,Sprout,4,16,Nuke
Team1,Heretics,Sprout,6,16,Dust2
Team1,Heretics,Tricked,3,16,Nuke
Team1,Heretics,Tricked,4,16,Dust2
Team1,Heretics,Tricked,6,16,Train
Team1,Heretics,Unique,2,16,Dust2
Team1,Heretics,Universe,19,17,Mirage
Team1,Heretics,Vexed,16,14,Nuke
Team1,Heretics,Vexed,7,16,Mirage
Team1,Heretics,Virtus.pro,16,13,Inferno
Team1,Heretics,Virtus.pro,9,16,Nuke
Team1,Heretics,VodkaJuniors,16,12,Inferno
Team1,Heretics,VodkaJuniors,7,16,Mirage
Team1,Heretics,Windigo,12,16,Dust2
Team1,Heretics,Windigo,16,8,Inferno
Team1,Heretics,Youngsters,16,14,Mirage
Team1,Heretics,einheit,16,14,Inferno
Team1,Heretics,fnatic,8,16,Overpass
Team1,Heretics,forZe,16,11,Mirage
Team1,Heretics,m1x,14,16,Nuke
Team1,Heretics,m1x,16,13,Inferno
Team1,Heretics,m1x,4,16,Mirage
Team1,Heretics,m1x,8,16,Mirage
Team1,Heretics,pro100,19,17,Inferno
Team1,Heretics,sAw,16,14,Inferno
Team1,Heretics,sAw,19,17,Inferno
Team2,Heretics,2115,14,16,Mirage
Team2,Heretics,AGO,11,16,Vertigo
Team2,Heretics,AVANGAR,12,16,Dust2
Team2,Heretics,Ambush,16,9,Inferno
Team2,Heretics,Astralis,10,16,Dust2
Team2,Heretics,Astralis,12,16,Inferno
Team2,Heretics,Copenhagen Flames,16,19,Overpass
Team2,Heretics,DETONA,14,16,Mirage
Team2,Heretics,DETONA,16,3,Overpass
Team2,Heretics,Dignitas,14,16,Dust2
Team2,Heretics,Espada,17,19,Vertigo
Team2,Heretics,FPL-CTalents,16,8,Mirage
Team2,Heretics,G2,14,16,Mirage
Team2,Heretics,Gambit Youngsters,13,16,Mirage
Team2,Heretics,Gambit Youngsters,16,5,Dust2
Team2,Heretics,Gambit Youngsters,16,9,Inferno
Team2,Heretics,GamerLegion,10,16,Inferno
Team2,Heretics,HAVU,10,16,Dust2
Team2,Heretics,HAVU,12,16,Dust2
Team2,Heretics,HAVU,16,4,Nuke
Team2,Heretics,Japaleno,16,4,Vertigo
Team2,Heretics,Movistar Riders,10,16,Vertigo
Team2,Heretics,Movistar Riders,11,16,Inferno
Team2,Heretics,Movistar Riders,12,16,Inferno
Team2,Heretics,Movistar Riders,16,9,Overpass
Team2,Heretics,NOM,11,16,Inferno
Team2,Heretics,NiP,10,16,Nuke
Team2,Heretics,NiP,13,16,Vertigo
Team2,Heretics,Nordavind,10,16,Inferno
Team2,Heretics,Nordavind,16,19,Overpass
Team2,Heretics,PACT,16,7,Nuke
Team2,Heretics,SKADE,11,16,Mirage
Team2,Heretics,SKADE,13,16,Dust2
Team2,Heretics,SKADE,14,16,Mirage
Team2,Heretics,SKADE,16,19,Inferno
Team2,Heretics,SKADE,16,2,Inferno
Team2,Heretics,SKADE,17,19,Inferno
Team2,Heretics,Secret,16,3,Nuke
Team2,Heretics,Secret,16,8,Inferno
Team2,Heretics,Spirit,12,16,Mirage
Team2,Heretics,Spirit,13,16,Train
Team2,Heretics,Spirit,16,5,Nuke
Team2,Heretics,Spirit,16,8,Dust2
Team2,Heretics,Sprout,13,16,Mirage
Team2,Heretics,Sprout,13,16,Overpass
Team2,Heretics,Tricked,10,16,Overpass
Team2,Heretics,Tricked,11,16,Dust2
Team2,Heretics,Tricked,12,16,Nuke
Team2,Heretics,Unique,13,16,Nuke
Team2,Heretics,Unique,16,6,Mirage
Team2,Heretics,Vexed,10,16,Dust2
Team2,Heretics,Vexed,16,6,Mirage
Team2,Heretics,Vexed,16,7,Dust2
Team2,Heretics,Virtus.pro,15,19,Mirage
Team2,Heretics,VodkaJuniors,16,8,Nuke
Team2,Heretics,Winstrike,16,8,Nuke
Team2,Heretics,Youngsters,14,16,Nuke
Team2,Heretics,Youngsters,16,5,Overpass
Team2,Heretics,einheit,14,16,Overpass
Team2,Heretics,pro100,11,16,Train
Team2,Heretics,pro100,12,16,Dust2
Team2,Heretics,pro100,12,16,Nuke
Team2,Heretics,pro100,14,16,Vertigo
Team2,Heretics,pro100,16,2,Inferno
