Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Swole Identity,Asuna's Anime Aimers,16,9,Nuke
Team1,Swole Identity,Bad News Bears,8,16,Inferno
Team1,Swole Identity,Chaos,4,16,Dust2
Team1,Swole Identity,Chaos,6,16,Mirage
Team1,Swole Identity,Envy,16,11,Overpass
Team1,Swole Identity,LiViD,19,16,Mirage
Team1,Swole Identity,Mythic,9,16,Dust2
Team1,Swole Identity,Station7,16,1,Nuke
Team1,Swole Identity,Triumph,5,16,Vertigo
Team2,Swole Identity,Asuna's Anime Aimers,16,19,Dust2
Team2,Swole Identity,Big Frames,16,9,Mirage
Team2,Swole Identity,Big Frames,16,9,Vertigo
Team2,Swole Identity,Chaos,16,9,Nuke
Team2,Swole Identity,Divine,12,16,Overpass
Team2,Swole Identity,Envy,12,16,Mirage
Team2,Swole Identity,Envy,14,16,Train
Team2,Swole Identity,In The Lab,13,16,Train
Team2,Swole Identity,Oceanus,16,6,Dust2
Team2,Swole Identity,Recon 5,12,16,Vertigo
Team2,Swole Identity,TeamOne,11,16,Overpass
Team2,Swole Identity,Triumph,13,16,Overpass
