Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Besiktas,AVANGAR,2,16,Overpass
Team1,Besiktas,Assassins,16,13,Inferno
Team1,Besiktas,Assassins,16,13,Train
Team1,Besiktas,Assassins,3,16,Cache
Team1,Besiktas,CLG Red,12,16,Inferno
Team1,Besiktas,Carnage fe,16,12,Cache
Team1,Besiktas,Dignitas fe,16,11,Dust2
Team1,Besiktas,Dignitas fe,16,13,Mirage
Team1,Besiktas,Hard Legion,3,16,Mirage
Team1,Besiktas,Hard Legion,5,16,Train
Team1,Besiktas,TYLOO fe,16,1,Overpass
Team1,Besiktas,TYLOO fe,16,11,Inferno
Team1,Besiktas,TYLOO fe,19,15,Dust2
Team2,Besiktas,7PM fe,16,3,Inferno
Team2,Besiktas,CLG Red,13,16,Train
Team2,Besiktas,CLG Red,16,8,Mirage
Team2,Besiktas,CLG Red,16,8,Train
Team2,Besiktas,Dignitas fe,12,16,Overpass
Team2,Besiktas,Dignitas fe,16,4,Nuke
Team2,Besiktas,TYLOO fe,16,7,Nuke
