Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,EHOME,5POWER,14,16,Nuke
Team1,EHOME,5POWER,16,11,Inferno
Team1,EHOME,5POWER,16,11,Nuke
Team1,EHOME,5POWER,16,13,Nuke
Team1,EHOME,8EASY,16,10,Overpass
Team1,EHOME,AUGUST,16,14,Overpass
Team1,EHOME,AUGUST,19,17,Dust2
Team1,EHOME,Aster,16,10,Mirage
Team1,EHOME,Aster,16,12,Overpass
Team1,EHOME,Aster,16,14,Overpass
Team1,EHOME,Aster,16,9,Dust2
Team1,EHOME,Aster,19,17,Dust2
Team1,EHOME,IPET,16,11,Mirage
Team1,EHOME,IPET,16,8,Dust2
Team1,EHOME,Invictus,16,14,Nuke
Team1,EHOME,JiJieHao,14,16,Nuke
Team1,EHOME,JiJieHao,16,10,Nuke
Team1,EHOME,JiJieHao,16,14,Mirage
Team1,EHOME,JiJieHao,19,16,Mirage
Team1,EHOME,JiJieHao,25,22,Mirage
Team1,EHOME,Lynn Vision,16,14,Inferno
Team1,EHOME,Lynn Vision,16,6,Dust2
Team1,EHOME,Lynn Vision,16,8,Nuke
Team1,EHOME,NIRVANA,16,14,Dust2
Team1,EHOME,NIRVANA,16,8,Mirage
Team1,EHOME,OneThree,13,16,Inferno
Team1,EHOME,OneThree,16,10,Nuke
Team1,EHOME,OneThree,16,10,Train
Team1,EHOME,OneThree,16,11,Mirage
Team1,EHOME,OneThree,16,13,Nuke
Team1,EHOME,OneThree,8,16,Mirage
Team1,EHOME,Predator,16,12,Overpass
Team1,EHOME,Predator,16,5,Nuke
Team1,EHOME,Recca,16,10,Dust2
Team1,EHOME,Recca,16,11,Train
Team1,EHOME,TYLOO,10,16,Inferno
Team1,EHOME,TYLOO,12,16,Train
Team1,EHOME,TYLOO,16,10,Inferno
Team1,EHOME,TYLOO,4,16,Overpass
Team1,EHOME,TYLOO,6,16,Mirage
Team1,EHOME,TYLOO,7,16,Dust2
Team1,EHOME,TYLOO,7,16,Overpass
Team1,EHOME,TYLOO,8,16,Train
Team1,EHOME,TYLOO,9,16,Overpass
Team1,EHOME,TYLOO,9,16,Train
Team1,EHOME,ViCi,12,16,Inferno
Team1,EHOME,ViCi,14,16,Mirage
Team1,EHOME,ViCi,16,10,Mirage
Team1,EHOME,ViCi,16,10,Train
Team1,EHOME,ViCi,16,12,Inferno
Team1,EHOME,ViCi,19,16,Mirage
Team1,EHOME,ViCi,19,17,Nuke
Team1,EHOME,ViCi,8,16,Overpass
Team2,EHOME,2990,16,3,Mirage
Team2,EHOME,4Bowie,13,16,Inferno
Team2,EHOME,5POWER,16,8,Dust2
Team2,EHOME,5POWER,20,22,Dust2
Team2,EHOME,Aster,13,16,Inferno
Team2,EHOME,Aster,16,2,Mirage
Team2,EHOME,Aster,16,6,Dust2
Team2,EHOME,Aster,16,6,Inferno
Team2,EHOME,Aster,16,9,Inferno
Team2,EHOME,Aster,16,9,Train
Team2,EHOME,BOOT-d S ,13,16,Nuke
Team2,EHOME,BOOT-d S ,14,16,Inferno
Team2,EHOME,BOOT-d S ,16,5,Dust2
Team2,EHOME,BTRG,13,16,Inferno
Team2,EHOME,BTRG,13,16,Mirage
Team2,EHOME,BTRG,16,9,Train
Team2,EHOME,Invictus,16,4,Mirage
Team2,EHOME,JiJieHao,11,16,Nuke
Team2,EHOME,JiJieHao,16,6,Inferno
Team2,EHOME,Lynn Vision,10,16,Inferno
Team2,EHOME,OneThree,10,16,Nuke
Team2,EHOME,OneThree,16,5,Nuke
Team2,EHOME,OneThree,16,7,Inferno
Team2,EHOME,R-Stars,13,16,Dust2
Team2,EHOME,R-Stars,13,16,Mirage
Team2,EHOME,TYLOO,11,16,Mirage
Team2,EHOME,TYLOO,16,7,Overpass
Team2,EHOME,ViCi,10,16,Inferno
Team2,EHOME,ViCi,17,19,Nuke
