Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,RED Canids,Alma,16,10,Mirage
Team1,RED Canids,Alma,16,10,Vertigo
Team1,RED Canids,BOOM,16,19,Mirage
Team1,RED Canids,Bravos,16,14,Nuke
Team1,RED Canids,DETONA,16,11,Inferno
Team1,RED Canids,DETONA,8,16,Train
Team1,RED Canids,Evidence,16,13,Nuke
Team1,RED Canids,Evidence,9,16,Mirage
Team1,RED Canids,INTZ.Academy,9,16,Overpass
Team1,RED Canids,Imperial,11,16,Train
Team1,RED Canids,Isurus,14,16,Mirage
Team1,RED Canids,Isurus,16,10,Overpass
Team1,RED Canids,Isurus,16,12,Nuke
Team1,RED Canids,Isurus,16,4,Train
Team1,RED Canids,Isurus,19,16,Mirage
Team1,RED Canids,Isurus fe,16,1,Nuke
Team1,RED Canids,Keyd,10,16,Dust2
Team1,RED Canids,Keyd,12,16,Mirage
Team1,RED Canids,Keyd,16,11,Vertigo
Team1,RED Canids,Keyd,16,13,Train
Team1,RED Canids,Keyd,16,2,Train
Team1,RED Canids,MITOS,16,11,Nuke
Team1,RED Canids,MITOS,16,12,Dust2
Team1,RED Canids,Neverest,16,12,Train
Team1,RED Canids,Reapers,12,16,Dust2
Team1,RED Canids,Reapers,22,20,Train
Team1,RED Canids,Redemption POA,16,14,Overpass
Team1,RED Canids,Rysix,16,14,Mirage
Team1,RED Canids,Soberano,16,4,Mirage
Team1,RED Canids,W7M,1,16,Nuke
Team1,RED Canids,W7M,10,16,Overpass
Team1,RED Canids,W7M,16,10,Mirage
Team1,RED Canids,W7M,16,11,Mirage
Team1,RED Canids,W7M,16,14,Dust2
Team1,RED Canids,W7M,16,14,Train
Team1,RED Canids,W7M,16,5,Train
Team1,RED Canids,W7M,19,15,Train
Team1,RED Canids,W7M,7,16,Train
Team1,RED Canids,paiN,16,11,Train
Team1,RED Canids,paiN,16,13,Mirage
Team1,RED Canids,paiN,16,14,Overpass
Team1,RED Canids,paiN,16,14,Train
Team1,RED Canids,paiN,4,16,Inferno
Team1,RED Canids,paiN,6,16,Nuke
Team2,RED Canids,Bravos,16,6,Dust2
Team2,RED Canids,DETONA,11,16,Dust2
Team2,RED Canids,DETONA,11,16,Train
Team2,RED Canids,EOX,16,9,Train
Team2,RED Canids,INTZ.Academy,10,16,Overpass
Team2,RED Canids,INTZ.Academy,16,5,Overpass
Team2,RED Canids,Imperial,12,16,Dust2
Team2,RED Canids,Isurus,12,16,Overpass
Team2,RED Canids,Isurus,14,16,Nuke
Team2,RED Canids,Isurus,14,16,Overpass
Team2,RED Canids,Isurus,16,3,Train
Team2,RED Canids,Isurus,16,7,Dust2
Team2,RED Canids,Isurus fe,16,4,Overpass
Team2,RED Canids,Keyd,14,16,Vertigo
Team2,RED Canids,Keyd,15,19,Nuke
Team2,RED Canids,Neverest,11,16,Mirage
Team2,RED Canids,Redemption POA,16,7,Inferno
Team2,RED Canids,Rysix,16,4,Nuke
Team2,RED Canids,Santos,13,16,Nuke
Team2,RED Canids,Soberano,16,9,Dust2
Team2,RED Canids,W7M,10,16,Overpass
Team2,RED Canids,W7M,16,5,Overpass
Team2,RED Canids,paiN,14,16,Nuke
Team2,RED Canids,paiN,16,19,Overpass
Team2,RED Canids,paiN,17,19,Nuke
