Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Wisla Krakow,AGO,13,16,Mirage
Team1,Wisla Krakow,AGO,16,13,Dust2
Team1,Wisla Krakow,AGO,17,19,Inferno
Team1,Wisla Krakow,AGO,5,16,Nuke
Team1,Wisla Krakow,ALTERNATE aTTaX,16,11,Overpass
Team1,Wisla Krakow,AVEZ,16,12,Dust2
Team1,Wisla Krakow,Aristocracy,8,16,Dust2
Team1,Wisla Krakow,Defusekids,16,14,Mirage
Team1,Wisla Krakow,Defusekids,16,8,Inferno
Team1,Wisla Krakow,Demolition Crew,19,16,Inferno
Team1,Wisla Krakow,DreamEaters,16,13,Dust2
Team1,Wisla Krakow,DreamEaters,16,5,Inferno
Team1,Wisla Krakow,Endpoint,13,16,Nuke
Team1,Wisla Krakow,Endpoint,16,10,Dust2
Team1,Wisla Krakow,HSL,16,12,Train
Team1,Wisla Krakow,Illuminar,16,6,Inferno
Team1,Wisla Krakow,Movistar Riders,16,11,Train
Team1,Wisla Krakow,Nemiga,16,12,Mirage
Team1,Wisla Krakow,Nemiga,16,13,Inferno
Team1,Wisla Krakow,Nordavind,9,16,Inferno
Team1,Wisla Krakow,Nordavind,9,16,Mirage
Team1,Wisla Krakow,Prima,10,16,Mirage
Team1,Wisla Krakow,Prima,16,14,Train
Team1,Wisla Krakow,SJ,16,12,Train
Team1,Wisla Krakow,SKADE,16,10,Nuke
Team1,Wisla Krakow,Skin Ogres,16,10,Inferno
Team1,Wisla Krakow,Spirit,9,16,Train
Team1,Wisla Krakow,TheDice,16,4,Mirage
Team1,Wisla Krakow,Winstrike,16,13,Overpass
Team1,Wisla Krakow,Winstrike,16,14,Inferno
Team1,Wisla Krakow,Winstrike,4,16,Dust2
Team1,Wisla Krakow,pro100,16,12,Train
Team1,Wisla Krakow,pro100,19,15,Mirage
Team2,Wisla Krakow,AGF,13,16,Train
Team2,Wisla Krakow,AGO,14,16,Mirage
Team2,Wisla Krakow,Aristocracy,12,16,Nuke
Team2,Wisla Krakow,Defusekids,14,16,Train
Team2,Wisla Krakow,Defusekids,16,9,Mirage
Team2,Wisla Krakow,DreamEaters,14,16,Mirage
Team2,Wisla Krakow,FATE,14,16,Train
Team2,Wisla Krakow,Illuminar,12,16,Overpass
Team2,Wisla Krakow,Nordavind,13,16,Overpass
Team2,Wisla Krakow,PACT,14,16,Train
Team2,Wisla Krakow,Skin Ogres,16,5,Dust2
Team2,Wisla Krakow,Sprout,14,16,Train
Team2,Wisla Krakow,TheDice,16,7,Nuke
Team2,Wisla Krakow,Unicorns of Love,14,16,Nuke
Team2,Wisla Krakow,Winstrike,12,16,Mirage
Team2,Wisla Krakow,pro100,11,16,Overpass
