Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,paiN,Bulldozer,16,6,Nuke
Team1,paiN,DETONA,14,16,Nuke
Team1,paiN,DETONA,16,10,Dust2
Team1,paiN,DETONA,16,10,Inferno
Team1,paiN,DETONA,16,10,Overpass
Team1,paiN,DETONA,19,15,Nuke
Team1,paiN,DETONA,22,19,Vertigo
Team1,paiN,Evidence,16,12,Overpass
Team1,paiN,Evidence,16,13,Inferno
Team1,paiN,F4K3,16,11,Dust2
Team1,paiN,Imperial,16,11,Inferno
Team1,paiN,Imperial,16,11,Train
Team1,paiN,Inflames,16,9,Nuke
Team1,paiN,Isurus,11,16,Inferno
Team1,paiN,Keyd,19,15,Inferno
Team1,paiN,Keyd,22,19,Nuke
Team1,paiN,Malvinas,16,1,Overpass
Team1,paiN,Malvinas,16,10,Nuke
Team1,paiN,No2B,16,10,Dust2
Team1,paiN,RED Canids,16,10,Overpass
Team1,paiN,RED Canids,16,14,Dust2
Team1,paiN,RED Canids,16,14,Nuke
Team1,paiN,RED Canids,16,14,Overpass
Team1,paiN,RED Canids,16,7,Overpass
Team1,paiN,RED Canids,16,8,Overpass
Team1,paiN,RED Canids,19,16,Nuke
Team1,paiN,Reapers,11,16,Inferno
Team1,paiN,Reapers,16,13,Inferno
Team1,paiN,Reapers,16,14,Overpass
Team1,paiN,Reapers,19,17,Inferno
Team1,paiN,Reapers,22,18,Mirage
Team1,paiN,Reapers,7,16,Dust2
Team1,paiN,Reapers,8,16,Overpass
Team1,paiN,Redemption POA,16,14,Inferno
Team1,paiN,Rejected,19,16,Train
Team1,paiN,Santos,16,10,Dust2
Team1,paiN,Santos,19,15,Inferno
Team1,paiN,Spirit,22,20,Inferno
Team1,paiN,Spirit,9,16,Mirage
Team1,paiN,TeamOne,7,16,Nuke
Team1,paiN,W7M,12,16,Inferno
Team1,paiN,W7M,16,14,Dust2
Team1,paiN,W7M,8,16,Mirage
Team1,paiN,W7M,8,16,Overpass
Team1,paiN,W7M,9,16,Cache
Team1,paiN,Yeah,16,14,Overpass
Team1,paiN,Yeah,7,16,Mirage
Team2,paiN,Alma,16,8,Inferno
Team2,paiN,Bulldozer,11,16,Dust2
Team2,paiN,Bulldozer,16,3,Nuke
Team2,paiN,Bulldozer,16,3,Train
Team2,paiN,Bulldozer,16,9,Inferno
Team2,paiN,DETONA,11,16,Dust2
Team2,paiN,DETONA,12,16,Inferno
Team2,paiN,DETONA,12,16,Inferno
Team2,paiN,DETONA,21,25,Vertigo
Team2,paiN,F4K3,16,4,Overpass
Team2,paiN,INTZ.Academy,16,8,Inferno
Team2,paiN,INTZ.Academy,16,8,Overpass
Team2,paiN,Inflames,16,3,Train
Team2,paiN,Inflames,19,22,Inferno
Team2,paiN,Isurus,16,9,Dust2
Team2,paiN,Keyd,16,8,Train
Team2,paiN,No2B,16,4,Nuke
Team2,paiN,RED Canids,12,16,Train
Team2,paiN,RED Canids,14,16,Inferno
Team2,paiN,Reapers,12,16,Overpass
Team2,paiN,Redemption POA,16,2,Nuke
Team2,paiN,W7M,10,16,Vertigo
Team2,paiN,W7M,11,16,Inferno
Team2,paiN,W7M,12,16,Nuke
Team2,paiN,W7M,16,4,Inferno
