Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,NRG,Astralis,16,12,Dust2
Team1,NRG,Cloud9,16,11,Train
Team1,NRG,Cloud9,16,13,Dust2
Team1,NRG,FURIA,22,20,Overpass
Team1,NRG,FaZe,16,11,Mirage
Team1,NRG,FaZe,16,12,Overpass
Team1,NRG,FaZe,9,16,Nuke
Team1,NRG,G2,16,7,Train
Team1,NRG,G2,19,17,Overpass
Team1,NRG,INTZ,16,1,Train
Team1,NRG,INTZ,16,9,Train
Team1,NRG,Liquid,13,16,Vertigo
Team1,NRG,Liquid,16,12,Dust2
Team1,NRG,Liquid,8,16,Mirage
Team1,NRG,Liquid,8,16,Overpass
Team1,NRG,MIBR,16,10,Inferno
Team1,NRG,Renegades,16,13,Mirage
Team1,NRG,Renegades,16,14,Dust2
Team1,NRG,Renegades,16,14,Train
Team1,NRG,Singularity,12,16,Overpass
Team1,NRG,Vitality,7,16,Dust2
Team1,NRG,Vitality,7,16,Inferno
Team1,NRG,Vitality,7,16,Mirage
Team1,NRG,eUnited,16,13,Dust2
Team1,NRG,eUnited,16,9,Mirage
Team1,NRG,fnatic,15,19,Nuke
Team1,NRG,fnatic,16,12,Nuke
Team1,NRG,fnatic,16,8,Train
Team2,NRG,Cloud9,10,16,Dust2
Team2,NRG,Cloud9,15,15,Nuke
Team2,NRG,Cloud9,16,9,Nuke
Team2,NRG,ENCE,13,16,Train
Team2,NRG,FURIA,11,16,Inferno
Team2,NRG,FURIA,16,7,Nuke
Team2,NRG,G2,12,16,Dust2
Team2,NRG,INTZ,16,2,Overpass
Team2,NRG,INTZ,16,9,Cache
Team2,NRG,Renegades,12,16,Mirage
Team2,NRG,Renegades,16,8,Dust2
Team2,NRG,Singularity,16,9,Nuke
Team2,NRG,ViCi,16,4,Mirage
Team2,NRG,Vitality,20,22,Nuke
Team2,NRG,fnatic,11,16,Inferno
Team2,NRG,fnatic,13,16,Cache
Team2,NRG,fnatic,17,19,Cache
Team2,NRG,fnatic,17,19,Overpass
