Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Gambit Youngsters,1WIN,16,9,Mirage
Team1,Gambit Youngsters,Akatsuki,16,12,Train
Team1,Gambit Youngsters,Apeks,19,17,Dust2
Team1,Gambit Youngsters,BIG,5,16,Mirage
Team1,Gambit Youngsters,Chaos,6,16,Overpass
Team1,Gambit Youngsters,Copenhagen Flames,16,11,Overpass
Team1,Gambit Youngsters,Copenhagen Flames,16,14,Inferno
Team1,Gambit Youngsters,Copenhagen Flames,16,9,Mirage
Team1,Gambit Youngsters,Copenhagen Flames,19,17,Vertigo
Team1,Gambit Youngsters,DreamEaters,16,11,Train
Team1,Gambit Youngsters,DreamEaters,16,12,Overpass
Team1,Gambit Youngsters,DreamEaters,6,16,Dust2
Team1,Gambit Youngsters,EXTREMUM,16,13,Vertigo
Team1,Gambit Youngsters,EXTREMUM,16,14,Inferno
Team1,Gambit Youngsters,EXTREMUM,28,24,Mirage
Team1,Gambit Youngsters,Endpoint,16,10,Overpass
Team1,Gambit Youngsters,Endpoint,16,11,Vertigo
Team1,Gambit Youngsters,Espada,16,12,Inferno
Team1,Gambit Youngsters,Espada,6,16,Mirage
Team1,Gambit Youngsters,EsportsAdviser,19,16,Mirage
Team1,Gambit Youngsters,FATE,16,8,Overpass
Team1,Gambit Youngsters,GODSENT,16,14,Nuke
Team1,Gambit Youngsters,GODSENT,16,14,Train
Team1,Gambit Youngsters,GODSENT,7,16,Overpass
Team1,Gambit Youngsters,GODSENT,9,16,Dust2
Team1,Gambit Youngsters,HAVU,16,13,Vertigo
Team1,Gambit Youngsters,HAVU,7,16,Dust2
Team1,Gambit Youngsters,HAVU,9,16,Dust2
Team1,Gambit Youngsters,Heretics,13,16,Dust2
Team1,Gambit Youngsters,Heretics,25,23,Overpass
Team1,Gambit Youngsters,Illuminar,16,12,Train
Team1,Gambit Youngsters,Illuminar,16,9,Vertigo
Team1,Gambit Youngsters,Illuminar,19,15,Mirage
Team1,Gambit Youngsters,Illuminar,19,16,Mirage
Team1,Gambit Youngsters,Lyngby Vikings,10,16,Mirage
Team1,Gambit Youngsters,MAD Lions,7,16,Dust2
Team1,Gambit Youngsters,Movistar Riders,16,14,Inferno
Team1,Gambit Youngsters,Movistar Riders,19,17,Inferno
Team1,Gambit Youngsters,Movistar Riders,23,25,Mirage
Team1,Gambit Youngsters,Nemiga,16,10,Dust2
Team1,Gambit Youngsters,Nemiga,16,12,Overpass
Team1,Gambit Youngsters,Nemiga,16,12,Vertigo
Team1,Gambit Youngsters,Nemiga,16,13,Dust2
Team1,Gambit Youngsters,Nordavind,19,15,Mirage
Team1,Gambit Youngsters,PACT,11,16,Vertigo
Team1,Gambit Youngsters,SJ,5,16,Inferno
Team1,Gambit Youngsters,SKADE,14,16,Train
Team1,Gambit Youngsters,SKADE,16,13,Inferno
Team1,Gambit Youngsters,SMASH,16,12,Dust2
Team1,Gambit Youngsters,SMASH,16,9,Overpass
Team1,Gambit Youngsters,Se7en,16,10,Mirage
Team1,Gambit Youngsters,Se7en,16,6,Dust2
Team1,Gambit Youngsters,Se7en,16,8,Vertigo
Team1,Gambit Youngsters,Spirit,16,14,Mirage
Team1,Gambit Youngsters,Sprout,16,11,Inferno
Team1,Gambit Youngsters,Sprout,3,16,Inferno
Team1,Gambit Youngsters,Sprout,6,16,Dust2
Team1,Gambit Youngsters,Syman,2,16,Dust2
Team1,Gambit Youngsters,Söderberg & Partners,10,16,Nuke
Team1,Gambit Youngsters,Tricked,7,16,Train
Team1,Gambit Youngsters,Unique,16,4,Vertigo
Team1,Gambit Youngsters,Unique,17,19,Dust2
Team1,Gambit Youngsters,Vega Squadron,16,12,Inferno
Team1,Gambit Youngsters,Vexed,16,12,Mirage
Team1,Gambit Youngsters,Vexed,19,15,Dust2
Team1,Gambit Youngsters,Virtus.pro,16,14,Vertigo
Team1,Gambit Youngsters,Virtus.pro,4,16,Dust2
Team1,Gambit Youngsters,Winstrike,11,16,Dust2
Team1,Gambit Youngsters,Winstrike,16,1,Train
Team1,Gambit Youngsters,Winstrike,16,11,Dust2
Team1,Gambit Youngsters,Winstrike,16,14,Vertigo
Team1,Gambit Youngsters,Winstrike,16,5,Dust2
Team1,Gambit Youngsters,Winstrike,16,6,Mirage
Team1,Gambit Youngsters,Winstrike,22,18,Mirage
Team1,Gambit Youngsters,Winstrike,5,16,Overpass
Team1,Gambit Youngsters,buaksib,16,13,Train
Team1,Gambit Youngsters,buaksib,16,4,Mirage
Team1,Gambit Youngsters,eL'quvet,19,16,Train
Team1,Gambit Youngsters,famous5,16,10,Overpass
Team1,Gambit Youngsters,forZe,16,9,Train
Team1,Gambit Youngsters,forZe,6,16,Dust2
Team1,Gambit Youngsters,forZe,7,16,Inferno
Team1,Gambit Youngsters,forZe,9,16,Dust2
Team1,Gambit Youngsters,pro100,16,11,Train
Team1,Gambit Youngsters,sAw,16,10,Inferno
Team1,Gambit Youngsters,sAw,16,11,Vertigo
Team1,Gambit Youngsters,sAw,4,16,Train
Team1,Gambit Youngsters,teamasd,16,13,Train
Team2,Gambit Youngsters,1WIN,16,6,Dust2
Team2,Gambit Youngsters,5balls,16,6,Dust2
Team2,Gambit Youngsters,AGO,11,16,Train
Team2,Gambit Youngsters,AGO,17,19,Dust2
