Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Yalla,ATK,16,14,Nuke
Team1,Yalla,Absolute,13,16,Inferno
Team1,Yalla,Absolute,16,11,Mirage
Team1,Yalla,Absolute,6,16,Mirage
Team1,Yalla,Aequus,8,16,Inferno
Team1,Yalla,Aequus,8,16,Mirage
Team1,Yalla,Camel Riders,4,16,Nuke
Team1,Yalla,Demise,6,16,Nuke
Team1,Yalla,Demise,8,16,Inferno
Team1,Yalla,Finest,16,12,Inferno
Team1,Yalla,GamerLegion,8,16,Mirage
Team1,Yalla,Giants,7,16,Dust2
Team1,Yalla,Giants,9,16,Nuke
Team1,Yalla,NET-FLX,16,10,Mirage
Team1,Yalla,NET-FLX,16,12,Dust2
Team1,Yalla,pro100,12,16,Inferno
Team1,Yalla,pro100,4,16,Vertigo
Team2,Yalla,Camel Riders,16,4,Mirage
Team2,Yalla,Finest,16,8,Dust2
Team2,Yalla,GamerLegion,12,16,Inferno
Team2,Yalla,TYLOO,1,16,Train
