Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Chaos,3DMAX,16,6,Overpass
Team1,Chaos,AGO,16,11,Overpass
Team1,Chaos,AGO,16,12,Cache
Team1,Chaos,AGO,16,14,Cache
Team1,Chaos,AGO,8,16,Train
Team1,Chaos,ALTERNATE aTTaX,16,12,Inferno
Team1,Chaos,AVANGAR,16,1,Inferno
Team1,Chaos,AVANGAR,16,10,Overpass
Team1,Chaos,AVANGAR,16,13,Dust2
Team1,Chaos,AVANGAR,8,16,Overpass
Team1,Chaos,AVANGAR,9,16,Inferno
Team1,Chaos,Ambush,14,16,Inferno
Team1,Chaos,Ambush,16,10,Dust2
Team1,Chaos,Ancient,4,16,Mirage
Team1,Chaos,Ancient,8,16,Overpass
Team1,Chaos,Aristocracy,16,12,Overpass
Team1,Chaos,Aristocracy,16,13,Train
Team1,Chaos,Bad News Bears,9,16,Dust2
Team1,Chaos,Big Frames,16,13,Overpass
Team1,Chaos,Brutalis,16,13,Mirage
Team1,Chaos,Complexity,4,16,Dust2
Team1,Chaos,Copenhagen Flames,16,2,Inferno
Team1,Chaos,District 7,16,13,Mirage
Team1,Chaos,DreamEaters,16,7,Overpass
Team1,Chaos,DreamEaters,8,16,Mirage
Team1,Chaos,ENCE,6,16,Mirage
Team1,Chaos,Envy,22,18,Mirage
Team1,Chaos,Epsilon,16,1,Inferno
Team1,Chaos,Epsilon,16,8,Mirage
Team1,Chaos,Epsilon,7,16,Mirage
Team1,Chaos,Flow,16,11,Dust2
Team1,Chaos,Flow,6,16,Inferno
Team1,Chaos,FrenchFrogs,16,12,Inferno
Team1,Chaos,FrenchFrogs,16,12,Overpass
Team1,Chaos,FrenchFrogs,16,5,Inferno
Team1,Chaos,FunPlus Phoenix,16,11,Inferno
Team1,Chaos,FunPlus Phoenix,9,16,Nuke
Team1,Chaos,Gambit,16,14,Overpass
Team1,Chaos,Gambit,8,16,Dust2
Team1,Chaos,GamerLegion,7,16,Mirage
Team1,Chaos,Gen.G,16,11,Inferno
Team1,Chaos,Gen.G,16,12,Mirage
Team1,Chaos,Gen.G,5,16,Inferno
Team1,Chaos,HAVU,14,16,Cache
Team1,Chaos,HAVU,16,13,Train
Team1,Chaos,HAVU,16,14,Dust2
Team1,Chaos,HAVU,19,17,Inferno
Team1,Chaos,HAVU,9,16,Dust2
Team1,Chaos,In The Lab,16,1,Dust2
Team1,Chaos,Jordan's Money Crew,16,9,Inferno
Team1,Chaos,LiViD,16,11,Nuke
Team1,Chaos,Liquid,16,13,Overpass
Team1,Chaos,MIBR,16,12,Inferno
Team1,Chaos,MIBR,16,14,Nuke
Team1,Chaos,MIBR,7,16,Overpass
Team1,Chaos,Monstars,16,12,Inferno
Team1,Chaos,Movistar Riders,4,16,Overpass
Team1,Chaos,Movistar Riders,6,16,Inferno
Team1,Chaos,Movistar Riders,8,16,Train
Team1,Chaos,Movistar Riders,9,16,Inferno
Team1,Chaos,Mythic,16,11,Nuke
Team1,Chaos,Mythic,16,13,Overpass
Team1,Chaos,Mythic,16,9,Inferno
Team1,Chaos,Mythic,7,16,Overpass
Team1,Chaos,Nemiga,16,14,Inferno
Team1,Chaos,Nemiga,22,19,Inferno
Team1,Chaos,Nemiga,28,26,Inferno
