Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,North,AVANGAR,13,16,Cache
Team1,North,AVANGAR,16,12,Mirage
Team1,North,AVANGAR,16,14,Inferno
Team1,North,AVANGAR,19,16,Dust2
Team1,North,AVANGAR,8,16,Inferno
Team1,North,Aristocracy,16,12,Nuke
Team1,North,Aristocracy,8,16,Train
Team1,North,BIG,16,11,Inferno
Team1,North,BIG,16,14,Train
Team1,North,BIG,22,20,Vertigo
Team1,North,BIG,7,16,Mirage
Team1,North,CR4ZY,28,26,Inferno
Team1,North,CR4ZY,6,16,Dust2
Team1,North,CR4ZY,7,16,Mirage
Team1,North,CR4ZY,8,16,Mirage
Team1,North,Chaos,16,9,Inferno
Team1,North,Complexity,8,16,Nuke
Team1,North,Copenhagen Flames,12,16,Mirage
Team1,North,Copenhagen Flames,6,16,Overpass
Team1,North,ENCE,7,16,Inferno
Team1,North,Endpoint,19,17,Dust2
Team1,North,Envy,16,11,Mirage
Team1,North,FaZe,16,12,Train
Team1,North,FaZe,16,19,Dust2
Team1,North,FaZe,16,9,Dust2
Team1,North,G2,16,12,Dust2
Team1,North,G2,16,14,Dust2
Team1,North,G2,19,16,Nuke
Team1,North,GODSENT,8,16,Vertigo
Team1,North,Heretics,13,16,Vertigo
Team1,North,Heretics,22,19,Overpass
Team1,North,Heroic,16,10,Nuke
Team1,North,Heroic,16,9,Nuke
Team1,North,Heroic,19,22,Overpass
Team1,North,Heroic,4,16,Mirage
Team1,North,Japaleno,16,10,Dust2
Team1,North,Liquid,16,13,Dust2
Team1,North,Liquid,6,16,Dust2
Team1,North,Liquid,6,16,Dust2
Team1,North,MAD Lions,16,11,Vertigo
Team1,North,MAD Lions,4,16,Mirage
Team1,North,MAD Lions,8,16,Overpass
Team1,North,MIBR,16,10,Overpass
Team1,North,MIBR,16,13,Inferno
Team1,North,MIBR,16,8,Inferno
Team1,North,MIBR,5,16,Mirage
Team1,North,MVP PK,16,10,Inferno
Team1,North,MVP PK,16,10,Nuke
Team1,North,Movistar Riders,16,11,Inferno
Team1,North,Movistar Riders,16,11,Overpass
Team1,North,Movistar Riders,16,12,Vertigo
Team1,North,Movistar Riders,16,5,Vertigo
Team1,North,NRG,0,16,Train
Team1,North,NRG,16,14,Inferno
Team1,North,Natus Vincere,16,12,Nuke
Team1,North,Natus Vincere,16,13,Dust2
Team1,North,Natus Vincere,16,14,Dust2
Team1,North,Natus Vincere,8,16,Overpass
Team1,North,Nemiga,16,12,Mirage
Team1,North,Nordavind,19,17,Nuke
Team1,North,OpTic,16,12,Nuke
Team1,North,OpTic,16,9,Train
Team1,North,Spirit,10,16,Inferno
Team1,North,Syman,16,14,Train
Team1,North,Tricked,16,14,Inferno
Team1,North,Tricked,6,16,Train
Team1,North,Virtus.pro,16,11,Train
Team1,North,Vitality,16,11,Inferno
Team1,North,Vitality,16,12,Dust2
Team1,North,Vitality,16,12,Mirage
Team1,North,Vitality,5,16,Nuke
Team1,North,Vitality,8,16,Inferno
Team1,North,Windigo,16,9,Inferno
Team1,North,Windigo,25,22,Dust2
Team1,North,Windigo,6,16,Overpass
Team1,North,c0ntact,16,14,Vertigo
Team1,North,ex-Space Soldiers,16,11,Train
Team1,North,ex-Space Soldiers,16,13,Dust2
Team1,North,ex-Space Soldiers,16,13,Inferno
Team1,North,fnatic,8,16,Mirage
Team1,North,forZe,12,16,Nuke
