Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Sinners,Brute,16,10,Overpass
Team1,Sinners,Brute,19,15,Nuke
Team1,Sinners,Complexity,7,16,Mirage
Team1,Sinners,Complexity,9,16,Vertigo
Team1,Sinners,Juggernauts,16,12,Mirage
Team1,Sinners,Juggernauts,16,14,Inferno
Team1,Sinners,Nexus,10,16,Inferno
Team1,Sinners,Seven.Modula,16,1,Nuke
Team1,Sinners,Seven.Modula,16,12,Mirage
Team1,Sinners,Spirit,4,16,Nuke
Team1,Sinners,Spirit,6,16,Vertigo
Team2,Sinners,AGO,13,16,Dust2
Team2,Sinners,Complexity,16,19,Nuke
Team2,Sinners,Endpoint,16,3,Mirage
Team2,Sinners,Juggernauts,13,16,Nuke
Team2,Sinners,Nexus,13,16,Mirage
Team2,Sinners,Vexed,16,7,Mirage
