Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Red Reserve,ALTERNATE aTTaX,19,15,Cache
Team1,Red Reserve,ALTERNATE aTTaX,19,17,Dust2
Team1,Red Reserve,EURONICS,16,5,Dust2
Team1,Red Reserve,LDLC,9,16,Dust2
Team1,Red Reserve,Sprout,7,16,Dust2
Team1,Red Reserve,Tricked,16,11,Dust2
Team1,Red Reserve,Tricked,16,11,Nuke
Team1,Red Reserve,Windigo,4,16,Mirage
Team1,Red Reserve,expert,16,4,Cache
Team1,Red Reserve,pro100,16,1,Dust2
Team1,Red Reserve,pro100,16,12,Inferno
Team2,Red Reserve,ALTERNATE aTTaX,16,4,Overpass
Team2,Red Reserve,EURONICS,16,6,Mirage
Team2,Red Reserve,LDLC,10,16,Cache
Team2,Red Reserve,Movistar Riders,20,22,Mirage
Team2,Red Reserve,Sprout,10,16,Train
Team2,Red Reserve,Windigo,13,16,Dust2
Team2,Red Reserve,expert,16,9,Inferno
