Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,OG,AVEZ,16,11,Nuke
Team1,OG,AVEZ,20,22,Dust2
Team1,OG,Astralis,8,16,Dust2
Team1,OG,ENCE,19,17,Train
Team1,OG,Evil Geniuses,16,14,Inferno
Team1,OG,Evil Geniuses,19,17,Dust2
Team1,OG,FATE,16,3,Mirage
Team1,OG,G2,14,16,Nuke
Team1,OG,G2,16,14,Nuke
Team1,OG,G2,9,16,Train
Team1,OG,Heretics,9,16,Dust2
Team1,OG,Heretics,9,16,Mirage
Team1,OG,KOVA,16,14,Inferno
Team1,OG,MAD Lions,12,16,Train
Team1,OG,Spirit,6,16,Inferno
Team1,OG,TYLOO,16,11,Inferno
Team1,OG,TYLOO,16,9,Dust2
Team1,OG,Virtus.pro,19,17,Dust2
Team1,OG,Virtus.pro,19,17,Train
Team1,OG,Vitality,16,12,Dust2
Team1,OG,fnatic,16,13,Dust2
Team1,OG,forZe,16,11,Inferno
Team1,OG,forZe,8,16,Mirage
Team1,OG,mousesports,16,12,Mirage
Team1,OG,mousesports,5,16,Inferno
Team2,OG,AGO,10,16,Inferno
Team2,OG,Astralis,10,16,Overpass
Team2,OG,ENCE,16,7,Overpass
Team2,OG,FATE,16,9,Overpass
Team2,OG,FURIA,16,7,Inferno
Team2,OG,GODSENT,14,16,Nuke
Team2,OG,KOVA,16,4,Dust2
Team2,OG,MAD Lions,12,16,Nuke
Team2,OG,MIBR,16,6,Dust2
Team2,OG,Natus Vincere,13,16,Dust2
Team2,OG,OneWay,11,16,Dust2
Team2,OG,Spirit,16,19,Nuke
Team2,OG,Virtus.pro,10,16,Overpass
Team2,OG,Virtus.pro,13,16,Inferno
Team2,OG,mousesports,14,16,Dust2
Team2,OG,mousesports,16,2,Inferno
