Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Mazaalai,2990,16,13,Train
Team1,Mazaalai,8EASY,16,10,Mirage
Team1,Mazaalai,AUGUST,2,16,Dust2
Team1,Mazaalai,AUGUST,5,16,Train
Team1,Mazaalai,Absolute,16,10,Inferno
Team1,Mazaalai,Absolute,19,16,Dust2
Team1,Mazaalai,BTRG,16,14,Train
Team1,Mazaalai,Camel Riders,16,14,Nuke
Team1,Mazaalai,D13,16,7,Mirage
Team1,Mazaalai,Ignis,16,12,Dust2
Team1,Mazaalai,Lucid Dream,8,16,Dust2
Team1,Mazaalai,SHIFT,14,16,Inferno
Team1,Mazaalai,TheMongolz,13,16,Mirage
Team1,Mazaalai,TheMongolz,16,12,Inferno
Team2,Mazaalai,2990,10,16,Inferno
Team2,Mazaalai,2990,16,5,Mirage
Team2,Mazaalai,Astro,16,8,Mirage
Team2,Mazaalai,D13,11,16,Nuke
Team2,Mazaalai,D13,12,16,Dust2
Team2,Mazaalai,D13,12,16,Inferno
Team2,Mazaalai,D13,13,16,Nuke
Team2,Mazaalai,D13,16,7,Train
Team2,Mazaalai,Ignis,16,7,Nuke
Team2,Mazaalai,Lucid Dream,14,16,Nuke
Team2,Mazaalai,SBC,16,3,Train
Team2,Mazaalai,SBC,16,8,Inferno
Team2,Mazaalai,SHIFT,14,16,Mirage
