Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Reapers,EOX,16,14,Train
Team1,Reapers,Falkol,16,14,Dust2
Team1,Reapers,Falkol,16,14,Nuke
Team1,Reapers,Furious,16,12,Overpass
Team1,Reapers,INTZ.Academy,16,10,Inferno
Team1,Reapers,Inflames,16,14,Dust2
Team1,Reapers,Keyd,16,13,Vertigo
Team1,Reapers,RED Canids,19,15,Overpass
Team1,Reapers,Redemption POA,13,16,Mirage
Team1,Reapers,Redemption POA,16,14,Overpass
Team1,Reapers,Redemption POA,6,16,Cache
Team1,Reapers,Redemption POA,7,16,Dust2
Team1,Reapers,Redemption POA,8,16,Mirage
Team1,Reapers,Santos,7,16,Mirage
Team1,Reapers,VirtuaFX,16,14,Inferno
Team1,Reapers,W7M,16,14,Overpass
Team1,Reapers,W7M,16,6,Overpass
Team1,Reapers,W7M,9,16,Overpass
Team1,Reapers,ex-UP,16,10,Nuke
Team1,Reapers,paiN,16,11,Mirage
Team1,Reapers,paiN,16,14,Dust2
Team1,Reapers,paiN,16,14,Dust2
Team1,Reapers,paiN,9,16,Overpass
Team1,Reapers,segura o bone,16,2,Inferno
Team2,Reapers,Bulldozer,12,16,Inferno
Team2,Reapers,DETONA,10,16,Mirage
Team2,Reapers,DETONA,13,16,Dust2
Team2,Reapers,Furious,16,7,Inferno
Team2,Reapers,Inflames,10,16,Train
Team2,Reapers,Keyd,16,6,Mirage
Team2,Reapers,Paquetá,12,16,Nuke
Team2,Reapers,Redemption POA,10,16,Train
Team2,Reapers,VirtuaFX,16,2,Overpass
Team2,Reapers,W7M,14,16,Mirage
Team2,Reapers,W7M,16,7,Train
Team2,Reapers,paiN,10,16,Inferno
Team2,Reapers,paiN,11,16,Dust2
Team2,Reapers,paiN,13,16,Overpass
Team2,Reapers,segura o bone,14,16,Train
