Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,NASR,5orgless,16,10,Dust2
Team1,NASR,5orgless,16,13,Train
Team1,NASR,ATK,6,16,Mirage
Team1,NASR,Aequus,11,16,Overpass
Team1,NASR,Aequus,16,14,Mirage
Team1,NASR,Entity,22,19,Inferno
Team1,NASR,Entity,22,19,Train
Team1,NASR,FFAmix,25,23,Nuke
Team1,NASR,FrostFire,14,16,Inferno
Team1,NASR,Goliath,6,16,Mirage
Team1,NASR,Grayhound,2,16,Mirage
Team1,NASR,Grayhound,6,16,Overpass
Team1,NASR,Lucid Dream,1,16,Dust2
Team1,NASR,NOM,16,7,Dust2
Team1,NASR,ShotCallers,16,6,Nuke
Team1,NASR,TNC,13,16,Mirage
Team1,NASR,Tommy And Friends,16,7,Inferno
Team1,NASR,ViCi,6,16,Nuke
Team1,NASR,Yalla,9,16,Inferno
Team1,NASR,dream S cape,19,15,Nuke
Team2,NASR,Darkside,17,19,Dust2
Team2,NASR,FFAmix,14,16,Inferno
Team2,NASR,FFAmix,20,22,Dust2
Team2,NASR,FrostFire,16,7,Nuke
Team2,NASR,NOM,12,16,Overpass
Team2,NASR,ShotCallers,12,16,Dust2
Team2,NASR,Tommy And Friends,16,3,Nuke
Team2,NASR,ViCi,11,16,Inferno
