Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Dignitas,Cloud9,10,16,Vertigo
Team1,Dignitas,Gen.G,11,16,Inferno
Team1,Dignitas,Gen.G,12,16,Nuke
Team1,Dignitas,Heroic,16,11,Nuke
Team1,Dignitas,LDLC,13,16,Nuke
Team1,Dignitas,Movistar Riders,16,10,Overpass
Team1,Dignitas,Movistar Riders,16,14,Nuke
Team1,Dignitas,North,16,10,Nuke
Team1,Dignitas,North,16,13,Vertigo
Team1,Dignitas,Orgless,16,10,Nuke
Team1,Dignitas,Orgless,19,15,Train
Team1,Dignitas,Orgless,3,16,Inferno
Team1,Dignitas,Orgless,8,16,Train
Team1,Dignitas,Sprout,16,11,Inferno
Team1,Dignitas,Sprout,7,16,Mirage
Team1,Dignitas,fnatic,16,14,Dust2
Team1,Dignitas,fnatic,3,16,Overpass
Team2,Dignitas,Cloud9,11,16,Train
Team2,Dignitas,ENCE,10,16,Overpass
Team2,Dignitas,ENCE,11,16,Dust2
Team2,Dignitas,Gen.G,13,16,Dust2
Team2,Dignitas,Gen.G,14,16,Train
Team2,Dignitas,LDLC,11,16,Dust2
