Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Evidence,2K,16,14,Inferno
Team1,Evidence,DETONA,5,16,Train
Team1,Evidence,INTZ,16,14,Inferno
Team1,Evidence,INTZ,6,16,Train
Team1,Evidence,Imperial,5,16,Nuke
Team1,Evidence,Imperial,8,16,Vertigo
Team1,Evidence,RED Canids,14,16,Train
Team1,Evidence,Reapers,16,10,Train
Team1,Evidence,Reapers,16,13,Dust2
Team1,Evidence,Redemption POA,10,16,Inferno
Team1,Evidence,Skullz,16,10,Mirage
Team1,Evidence,W7M,14,16,Inferno
Team1,Evidence,paiN,2,16,Dust2
Team1,Evidence,paiN,7,16,Nuke
Team2,Evidence,DETONA,12,16,Nuke
Team2,Evidence,Redemption POA,22,25,Train
Team2,Evidence,W7M,12,16,Overpass
