Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Sprout,3DMAX,16,3,Dust2
Team1,Sprout,3DMAX,7,16,Mirage
Team1,Sprout,AGO,16,10,Inferno
Team1,Sprout,AGO,16,10,Inferno
Team1,Sprout,AGO,16,13,Cache
Team1,Sprout,AGO,16,14,Mirage
Team1,Sprout,AGO,7,16,Inferno
Team1,Sprout,AGO,8,16,Train
Team1,Sprout,ALTERNATE aTTaX,16,10,Mirage
Team1,Sprout,AVANGAR,16,14,Cache
Team1,Sprout,AVEZ,16,12,Inferno
Team1,Sprout,Aristocracy,16,10,Nuke
Team1,Sprout,Aristocracy,7,16,Train
Team1,Sprout,BIG,16,10,Mirage
Team1,Sprout,BIG,16,13,Inferno
Team1,Sprout,BIG,16,13,Overpass
Team1,Sprout,BIG,16,14,Mirage
Team1,Sprout,BIG,6,16,Overpass
Team1,Sprout,Bpro,22,20,Nuke
Team1,Sprout,Chaos,16,11,Inferno
Team1,Sprout,Chaos,16,14,Mirage
Team1,Sprout,Copenhagen Flames,11,16,Train
Team1,Sprout,Copenhagen Flames,16,10,Overpass
Team1,Sprout,Copenhagen Flames,16,11,Inferno
Team1,Sprout,Copenhagen Flames,16,12,Mirage
Team1,Sprout,Demolition Crew,16,11,Nuke
Team1,Sprout,Dignitas,10,16,Vertigo
Team1,Sprout,Epsilon,16,10,Nuke
Team1,Sprout,Epsilon,16,11,Inferno
Team1,Sprout,Epsilon,19,17,Mirage
Team1,Sprout,FURIA,16,13,Train
Team1,Sprout,Gambit Youngsters,16,7,Overpass
Team1,Sprout,GamerLegion,16,13,Dust2
Team1,Sprout,GamerLegion,16,13,Nuke
Team1,Sprout,Giants,16,9,Dust2
Team1,Sprout,Giants,19,15,Dust2
Team1,Sprout,Heretics,16,1,Nuke
Team1,Sprout,Heretics,16,10,Inferno
Team1,Sprout,Heretics,19,15,Inferno
Team1,Sprout,Heretics,3,16,Dust2
Team1,Sprout,Heroic,5,16,Inferno
Team1,Sprout,Illuminar,16,1,Nuke
Team1,Sprout,Illuminar,16,10,Overpass
Team1,Sprout,Illuminar,16,14,Mirage
Team1,Sprout,Izako Boars,16,12,Cache
Team1,Sprout,Izako Boars,16,14,Inferno
Team1,Sprout,Japaleno,16,12,Train
Team1,Sprout,Japaleno,16,13,Mirage
Team1,Sprout,Japaleno,16,13,Mirage
Team1,Sprout,Japaleno,16,8,Dust2
Team1,Sprout,Japaleno,19,16,Inferno
Team1,Sprout,Japaleno,19,16,Inferno
Team1,Sprout,MAJESTY,16,14,Inferno
Team1,Sprout,MAJESTY,16,6,Train
Team1,Sprout,Movistar Riders,13,16,Train
Team1,Sprout,Movistar Riders,16,10,Mirage
Team1,Sprout,Movistar Riders,16,12,Nuke
Team1,Sprout,Movistar Riders,16,13,Nuke
Team1,Sprout,Movistar Riders,16,14,Train
Team1,Sprout,Movistar Riders,16,19,Inferno
Team1,Sprout,Movistar Riders,16,9,Nuke
Team1,Sprout,Movistar Riders,19,16,Inferno
Team1,Sprout,Movistar Riders,8,16,Inferno
Team1,Sprout,Movistar Riders,9,16,Train
Team1,Sprout,Nemiga,16,14,Vertigo
Team1,Sprout,NoChance,16,10,Dust2
Team1,Sprout,Nordavind,20,22,Dust2
Team1,Sprout,North,4,16,Dust2
Team1,Sprout,OpTic,10,16,Overpass
Team1,Sprout,OpTic,16,10,Dust2
Team1,Sprout,OpTic,16,3,Dust2
Team1,Sprout,OpTic,8,16,Dust2
Team1,Sprout,PACT,16,11,Train
Team1,Sprout,Red Reserve,16,13,Inferno
Team1,Sprout,Red Reserve,6,16,Mirage
Team1,Sprout,SJ,16,13,Inferno
Team1,Sprout,Salamander,16,12,Overpass
Team1,Sprout,Salamander,22,19,Dust2
Team1,Sprout,Secret,16,10,Inferno
Team1,Sprout,Spirit,16,11,Inferno
Team1,Sprout,Spirit,16,5,Dust2
Team1,Sprout,Spirit,6,16,Dust2
Team1,Sprout,Söderberg & Partners,16,10,Inferno
Team1,Sprout,Söderberg & Partners,19,16,Nuke
Team1,Sprout,Tricked,16,9,Nuke
Team1,Sprout,Tricked,2,16,Nuke
Team1,Sprout,Tricked,6,16,Overpass
Team1,Sprout,Triumph,16,10,Inferno
Team1,Sprout,Triumph,16,7,Dust2
Team1,Sprout,Unicorns of Love,16,14,Dust2
Team1,Sprout,Valiance,14,16,Dust2
Team1,Sprout,Vexed,16,10,Cache
Team1,Sprout,Virtus.pro,16,12,Nuke
Team1,Sprout,Virtus.pro,16,12,Vertigo
Team1,Sprout,Virtus.pro,16,8,Mirage
Team1,Sprout,Vitality,11,16,Mirage
Team1,Sprout,Vitality,3,16,Dust2
Team1,Sprout,Vitality,6,16,Mirage
Team1,Sprout,Vitality,9,16,Inferno
Team1,Sprout,Windigo,16,13,Inferno
Team1,Sprout,Windigo,2,16,Mirage
Team1,Sprout,Winstrike,16,13,Dust2
Team1,Sprout,Winstrike,19,17,Nuke
Team1,Sprout,Winstrike,5,16,Mirage
Team1,Sprout,Winstrike,8,16,Overpass
Team1,Sprout,ex-Epsilon,16,10,Inferno
Team1,Sprout,ex-Epsilon,16,12,Dust2
Team1,Sprout,ex-Epsilon,16,8,Overpass
Team1,Sprout,ex-Epsilon,7,16,Mirage
Team1,Sprout,expert,16,7,Train
Team1,Sprout,forZe,14,16,Inferno
Team1,Sprout,forZe,16,10,Mirage
Team1,Sprout,forZe,16,12,Train
Team1,Sprout,forZe,8,16,Inferno
Team1,Sprout,mousesports,12,16,Dust2
Team1,Sprout,mousesports,16,13,Train
Team1,Sprout,ttc,16,5,Nuke
Team1,Sprout,x-kom,9,16,Nuke
Team2,Sprout,AGO,1,16,Cache
Team2,Sprout,ALTERNATE aTTaX,11,16,Mirage
Team2,Sprout,ALTERNATE aTTaX,16,2,Train
Team2,Sprout,ALTERNATE aTTaX,16,5,Inferno
Team2,Sprout,AVANGAR,11,16,Dust2
Team2,Sprout,AVANGAR,17,19,Inferno
Team2,Sprout,BIG,13,16,Nuke
Team2,Sprout,Bpro,11,16,Train
Team2,Sprout,Bpro,14,16,Mirage
Team2,Sprout,Copenhagen Flames,13,16,Nuke
Team2,Sprout,DreamEaters,16,9,Dust2
Team2,Sprout,Endpoint,11,16,Overpass
Team2,Sprout,Epsilon,16,5,Train
Team2,Sprout,FASTLOSE,16,5,Mirage
Team2,Sprout,FURIA,16,8,Inferno
Team2,Sprout,Gambit Youngsters,14,16,Mirage
Team2,Sprout,Gambit Youngsters,16,9,Dust2
Team2,Sprout,GamerLegion,11,16,Dust2
Team2,Sprout,Giants,16,8,Inferno
Team2,Sprout,Illuminar,11,16,Train
Team2,Sprout,Illuminar,12,16,Train
Team2,Sprout,Illuminar,13,16,Mirage
Team2,Sprout,Illuminar,14,16,Overpass
Team2,Sprout,Movistar Riders,13,16,Nuke
Team2,Sprout,Movistar Riders,13,16,Nuke
Team2,Sprout,Movistar Riders,13,16,Train
Team2,Sprout,Movistar Riders,16,3,Overpass
Team2,Sprout,Movistar Riders,16,7,Inferno
Team2,Sprout,Movistar Riders,16,9,Nuke
Team2,Sprout,NiP,14,16,Inferno
Team2,Sprout,Nordavind,16,9,Inferno
Team2,Sprout,Salamander,14,16,Train
Team2,Sprout,Singularity,11,16,Dust2
Team2,Sprout,Spirit,12,16,Mirage
Team2,Sprout,Spirit,12,16,Mirage
Team2,Sprout,Spirit,12,16,Nuke
Team2,Sprout,Spirit,14,16,Dust2
Team2,Sprout,Spirit,15,19,Mirage
Team2,Sprout,Spirit,16,4,Nuke
Team2,Sprout,Tricked,12,16,Mirage
Team2,Sprout,Tricked,14,16,Mirage
Team2,Sprout,Valiance,10,16,Nuke
Team2,Sprout,Valiance,11,16,Mirage
Team2,Sprout,Vexed,16,6,Inferno
Team2,Sprout,Virtus.pro,16,8,Train
Team2,Sprout,Vitality,15,19,Overpass
Team2,Sprout,Windigo,10,16,Inferno
Team2,Sprout,Windigo,13,16,Overpass
Team2,Sprout,Windigo,16,4,Dust2
Team2,Sprout,Windigo,16,9,Inferno
Team2,Sprout,Winstrike,13,16,Mirage
Team2,Sprout,Winstrike,15,19,Dust2
Team2,Sprout,Winstrike,16,4,Dust2
Team2,Sprout,devils.one,14,16,Nuke
Team2,Sprout,ex-3DMAX,17,19,Cache
Team2,Sprout,ex-Epsilon,19,22,Inferno
Team2,Sprout,expert,16,6,Train
Team2,Sprout,expert,16,9,Mirage
Team2,Sprout,forZe,11,16,Nuke
Team2,Sprout,forZe,17,19,Inferno
Team2,Sprout,forZe,17,19,Mirage
Team2,Sprout,ttc,16,9,Mirage
