Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,5POWER,8EASY,16,14,Mirage
Team1,5POWER,8EASY,16,8,Dust2
Team1,5POWER,AUGUST,10,16,Dust2
Team1,5POWER,AUGUST,8,16,Nuke
Team1,5POWER,AVANT,16,19,Inferno
Team1,5POWER,BOOT,12,16,Dust2
Team1,5POWER,BOOT,6,16,Nuke
Team1,5POWER,BOOT-d S ,16,9,Mirage
Team1,5POWER,BOOT-d S ,8,16,Train
Team1,5POWER,BTRG,16,10,Mirage
Team1,5POWER,BTRG,16,10,Overpass
Team1,5POWER,BTRG,16,5,Train
Team1,5POWER,BTRG,16,6,Inferno
Team1,5POWER,D7G,16,6,Nuke
Team1,5POWER,EHOME,16,11,Train
Team1,5POWER,EHOME,16,13,Inferno
Team1,5POWER,EHOME,16,13,Mirage
Team1,5POWER,EHOME,16,14,Dust2
Team1,5POWER,EHOME,16,14,Train
Team1,5POWER,EHOME,19,16,Nuke
Team1,5POWER,EHOME,9,16,Overpass
Team1,5POWER,ENZO,6,16,Mirage
Team1,5POWER,Energy,16,10,Inferno
Team1,5POWER,Evil Geniuses,8,16,Inferno
Team1,5POWER,IPET,16,11,Nuke
Team1,5POWER,IPET,16,7,Inferno
Team1,5POWER,Invictus,14,16,Dust2
Team1,5POWER,Invictus,16,12,Overpass
Team1,5POWER,JiJieHao,16,12,Dust2
Team1,5POWER,JiJieHao,19,17,Train
Team1,5POWER,Lucid Dream,16,13,Mirage
Team1,5POWER,Lucid Dream,17,19,Overpass
Team1,5POWER,Lucid Dream,19,17,Mirage
Team1,5POWER,Lucid Dream,5,16,Inferno
Team1,5POWER,Lucid Dream,5,16,Vertigo
Team1,5POWER,Lynn Vision,16,13,Nuke
Team1,5POWER,Lynn Vision,16,14,Inferno
Team1,5POWER,Lynn Vision,16,8,Dust2
Team1,5POWER,Lynn Vision,6,16,Dust2
Team1,5POWER,MVP PK,6,16,Inferno
Team1,5POWER,MVP PK,7,16,Dust2
Team1,5POWER,MVP PK,7,16,Train
Team1,5POWER,OneThree,16,10,Dust2
Team1,5POWER,Panda,16,14,Mirage
Team1,5POWER,TYLOO,10,16,Overpass
Team1,5POWER,TYLOO,13,16,Inferno
Team1,5POWER,TYLOO,16,12,Dust2
Team1,5POWER,TYLOO,16,12,Inferno
Team1,5POWER,TYLOO,7,16,Mirage
Team1,5POWER,TYLOO,8,16,Inferno
Team1,5POWER,TYLOO,9,16,Inferno
Team1,5POWER,Ukraine,13,16,Dust2
Team1,5POWER,ViCi,12,16,Overpass
Team1,5POWER,ViCi,13,16,Overpass
Team1,5POWER,ViCi,16,13,Inferno
Team1,5POWER,ViCi,7,16,Overpass
Team1,5POWER,ViCi,8,16,Train
Team1,5POWER,ViCi,8,16,Vertigo
Team1,5POWER,Vital Spark,16,14,Mirage
Team2,5POWER,8EASY,10,16,Dust2
Team2,5POWER,8EASY,12,16,Train
Team2,5POWER,8EASY,16,6,Inferno
Team2,5POWER,ArkAngel,16,5,Dust2
Team2,5POWER,BOOT,12,16,Dust2
Team2,5POWER,BOOT-d S ,16,9,Inferno
Team2,5POWER,BTRG,16,7,Dust2
Team2,5POWER,D7G,16,3,Mirage
Team2,5POWER,EHOME,14,16,Inferno
Team2,5POWER,EHOME,16,19,Inferno
Team2,5POWER,EHOME,16,7,Dust2
Team2,5POWER,EHOME,16,7,Inferno
Team2,5POWER,ENZO,12,16,Cache
Team2,5POWER,Energy,16,3,Train
Team2,5POWER,Evil Geniuses,10,16,Dust2
Team2,5POWER,Go1dShark,16,4,Dust2
Team2,5POWER,Go1dShark,16,5,Inferno
Team2,5POWER,Invictus,11,16,Train
Team2,5POWER,Invictus,12,16,Mirage
Team2,5POWER,Invictus,16,19,Train
Team2,5POWER,JiJieHao,16,9,Nuke
Team2,5POWER,JiJieHao,20,22,Mirage
Team2,5POWER,Lucid Dream,12,16,Train
Team2,5POWER,Lynn Vision,16,3,Overpass
Team2,5POWER,Lynn Vision,16,5,Inferno
Team2,5POWER,Lynn Vision,16,9,Mirage
Team2,5POWER,OneThree,16,3,Inferno
Team2,5POWER,Panda,10,16,Dust2
Team2,5POWER,TYLOO,12,16,Dust2
Team2,5POWER,Ukraine,16,5,Mirage
Team2,5POWER,ViCi,12,16,Mirage
Team2,5POWER,ViCi,12,16,Nuke
Team2,5POWER,ViCi,12,16,Train
Team2,5POWER,ViCi,15,19,Mirage
Team2,5POWER,ViCi,16,6,Overpass
Team2,5POWER,Vital Spark,16,9,Dust2
