Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,ex-3DMAX,Epsilon,19,16,Mirage
Team1,ex-3DMAX,HellRaisers,6,16,Inferno
Team1,ex-3DMAX,Heroic,7,16,Inferno
Team1,ex-3DMAX,Heroic,9,16,Nuke
Team1,ex-3DMAX,Virtus.pro,19,17,Nuke
Team1,ex-3DMAX,Windigo,16,13,Train
Team1,ex-3DMAX,Windigo,7,16,Inferno
Team1,ex-3DMAX,clear,16,14,Cache
Team1,ex-3DMAX,forZe,16,10,Nuke
Team1,ex-3DMAX,forZe,8,16,Train
Team1,ex-3DMAX,pro100,16,12,Inferno
Team1,ex-3DMAX,pro100,16,14,Nuke
Team2,ex-3DMAX,Akopalipsa,16,7,Inferno
Team2,ex-3DMAX,Akopalipsa,16,7,Mirage
Team2,ex-3DMAX,Chaos,13,16,Dust2
Team2,ex-3DMAX,Epsilon,11,16,Inferno
Team2,ex-3DMAX,pro100,11,16,Overpass
