Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Rocketlauncher$,Ambush,16,14,Overpass
Team2,Ambush,Rocketlauncher$,16,7,Inferno
Team1,Rocketlauncher$,Ambush,8,16,Dust2
Team1,SKADE,Brute,16,10,Inferno
Team1,SKADE,Brute,16,14,Nuke
Team1,SKADE,Ambush,22,20,Inferno
Team2,Ambush,SKADE,13,16,Train
Team1,Brute,Rocketlauncher$,8,16,Mirage
Team1,Rocketlauncher$,Brute,7,16,Inferno
Team1,Brute,Rocketlauncher$,16,14,Dust2
Team1,Brute,Ambush,16,13,Dust2
Team1,Ambush,Brute,16,12,Inferno
Team2,Brute,Ambush,16,9,Mirage
Team2,SKADE,FATE,13,16,Inferno
Team2,FATE,SKADE,12,16,Overpass
Team1,SKADE,FATE,16,11,Train
Team2,Brute,Phoenix,10,16,Dust2
Team2,Phoenix,Brute,16,8,Mirage
Team2,SKADE,Heroic,13,16,Inferno
Team2,Heroic,SKADE,16,7,Nuke
Team1,Big Frames,Rugratz,4,16,Nuke
Team2,Rugratz,Big Frames,16,7,Mirage
Team2,eUnited,RBG,16,3,Overpass
Team1,RBG,eUnited,4,16,Train
Team2,Divine,Oceanus,16,9,Dust2
Team1,Oceanus,Divine,8,16,Train
Team2,New England Whalers,Just For Fun,12,16,Inferno
Team1,New England Whalers,Just For Fun,5,16,Mirage
Team2,ex-iNTACT,Monstars,14,16,Mirage
Team1,Monstars,ex-iNTACT,16,10,Inferno
Team2,Singularity,Infinity,16,3,Overpass
Team2,Infinity,Singularity,12,16,Mirage
Team2,LiViD,Recon 5,13,16,Mirage
Team2,Recon 5,LiViD,11,16,Nuke
Team2,LiViD,Recon 5,16,7,Inferno
Team2,Rap Gang,Bushido Boyz,14,16,Inferno
Team2,Rap Gang,Bushido Boyz,16,4,Mirage
Team1,Rap Gang,Bushido Boyz,16,13,Overpass
Team2,Rugratz,Monstars,16,3,Mirage
Team1,Monstars,Rugratz,9,16,Nuke
Team2,Just For Fun,Divine,10,16,Inferno
Team2,Just For Fun,Divine,16,8,Overpass
Team1,Divine,Just For Fun,9,16,Mirage
Team1,Singularity,LiViD,19,16,Train
Team1,Singularity,LiViD,19,15,Nuke
Team1,eUnited,Rap Gang,16,12,Overpass
Team1,eUnited,Rap Gang,22,20,Mirage
Team1,Phoenix,Gambit Youngsters,16,11,Overpass
Team2,Gambit Youngsters,Phoenix,10,16,Mirage
Team1,Phoenix,Heroic,8,16,Vertigo
Team2,Heroic,Phoenix,16,5,Mirage
Team1,Heroic,Phoenix,16,10,Overpass
Team1,Singularity,Rugratz,16,14,Overpass
Team1,Rugratz,Singularity,19,16,Nuke
Team1,Rugratz,Singularity,16,12,Mirage
Team2,Just For Fun,eUnited,11,16,Nuke
Team2,eUnited,Just For Fun,10,16,Mirage
Team2,Just For Fun,eUnited,16,9,Dust2
Team1,Rugratz,Just For Fun,5,16,Mirage
Team2,Rugratz,Just For Fun,16,19,Train
Team2,ViCi,Alpha Red,16,3,Overpass
Team1,Bren,R-Stars,19,15,Train
Team2,R-Stars,Bren,16,7,Inferno
