,Winner,Team1,Team2,Team1_Score,Team2_Score,Map
0,100 Thieves,100 Thieves,ENCE,16,13,Train
1,ENCE,ENCE,100 Thieves,3,16,Inferno
2,100 Thieves,100 Thieves,Astralis,9,16,Nuke
3,Astralis,Astralis,100 Thieves,16,10,Inferno
4,ENCE,100 Thieves,ENCE,16,7,Nuke
5,ENCE,ENCE,100 Thieves,9,16,Inferno
6,100 Thieves,100 Thieves,Vitality,16,14,Nuke
7,100 Thieves,Vitality,100 Thieves,16,8,Mirage
8,Vitality,100 Thieves,Vitality,16,2,Inferno
9,Astralis,Astralis,100 Thieves,16,14,Vertigo
10,100 Thieves,100 Thieves,Astralis,5,16,Nuke
11,100 Thieves,Astralis,100 Thieves,16,3,Train
12,eUnited,100 Thieves,eUnited,16,8,Dust2
13,eUnited,eUnited,100 Thieves,7,16,Mirage
14,Isurus,100 Thieves,Isurus,16,5,Inferno
15,Isurus,Isurus,100 Thieves,9,16,Mirage
16,FURIA,100 Thieves,FURIA,16,6,Vertigo
17,100 Thieves,FURIA,100 Thieves,11,16,Inferno
18,Evil Geniuses,100 Thieves,Evil Geniuses,10,16,Nuke
19,Heroic,Heroic,100 Thieves,8,16,Vertigo
20,FaZe,100 Thieves,FaZe,12,16,Dust2
21,100 Thieves,Evil Geniuses,100 Thieves,16,8,Mirage
22,fnatic,100 Thieves,fnatic,13,16,Train
23,100 Thieves,FaZe,100 Thieves,11,16,Inferno
24,G2,100 Thieves,G2,13,16,Dust2
25,FaZe,FaZe,100 Thieves,7,16,Mirage
26,G2,100 Thieves,G2,12,16,Vertigo
27,100 Thieves,fnatic,100 Thieves,16,5,Mirage
28,Evil Geniuses,100 Thieves,Evil Geniuses,16,19,Nuke
29,100 Thieves,Evil Geniuses,100 Thieves,16,4,Train
30,TYLOO,100 Thieves,TYLOO,16,9,Inferno
31,100 Thieves,G2,100 Thieves,16,3,Mirage
32,100 Thieves,100 Thieves,Evil Geniuses,16,12,Nuke
33,100 Thieves,G2,100 Thieves,16,2,Dust2
34,100 Thieves,100 Thieves,Evil Geniuses,16,12,Dust2
35,100 Thieves,TYLOO,100 Thieves,10,16,Vertigo
36,mousesports,100 Thieves,mousesports,16,8,Dust2
37,Evil Geniuses,Evil Geniuses,100 Thieves,16,12,Inferno
38,fnatic,100 Thieves,fnatic,16,19,Mirage
39,mousesports,mousesports,100 Thieves,16,10,Inferno
40,Swole Patrol,100 Thieves,Swole Patrol,16,19,Train
41,100 Thieves,mousesports,100 Thieves,14,16,Nuke
42,100 Thieves,100 Thieves,Evil Geniuses,16,13,Train
43,fnatic,fnatic,100 Thieves,19,16,Inferno
44,Evil Geniuses,100 Thieves,Evil Geniuses,16,6,Nuke
45,Swole Patrol,Swole Patrol,100 Thieves,5,16,Vertigo
46,Liquid,100 Thieves,Liquid,14,16,Mirage
47,100 Thieves,Swole Patrol,100 Thieves,13,16,Inferno
48,MIBR,100 Thieves,MIBR,12,16,Train
49,Evil Geniuses,Evil Geniuses,100 Thieves,16,12,Inferno
50,100 Thieves,100 Thieves,FURIA,4,16,Mirage
51,Liquid,Liquid,100 Thieves,19,16,Vertigo
52,Gen.G,100 Thieves,Gen.G,10,16,Mirage
53,MIBR,MIBR,100 Thieves,16,14,Inferno
54,Evil Geniuses,100 Thieves,Evil Geniuses,11,16,Dust2
55,FURIA,FURIA,100 Thieves,5,16,Vertigo
56,Evil Geniuses,100 Thieves,Evil Geniuses,16,7,Inferno
57,FURIA,FURIA,100 Thieves,16,12,Nuke
58,100 Thieves,100 Thieves,Cloud9,16,13,Train
59,Gen.G,Gen.G,100 Thieves,16,10,Dust2
60,100 Thieves,100 Thieves,Liquid,8,16,Mirage
61,Evil Geniuses,Evil Geniuses,100 Thieves,4,16,Nuke
62,100 Thieves,100 Thieves,Envy,16,12,Mirage
63,100 Thieves,Triumph,100 Thieves,10,16,Dust2
64,Envy,100 Thieves,Envy,10,16,Nuke
65,100 Thieves,Triumph,100 Thieves,10,16,Vertigo
66,100pinggods,100pinggods,Unique,16,13,Train
67,PORCHA,PORCHA,100pinggods,6,16,Overpass
68,Unique,100pinggods,Unique,11,16,Mirage
69,100pinggods,PORCHA,100pinggods,13,16,Dust2
70,1337HUANIA,1337HUANIA,AllTheRage,16,11,Mirage
71,1337HUANIA,AllTheRage,1337HUANIA,14,16,Nuke
72,AllTheRage,1337HUANIA,AllTheRage,16,5,Inferno
73,AllTheRage,AllTheRage,1337HUANIA,19,17,Cache
74,FiGURE05,1337HUANIA,FiGURE05,16,5,Overpass
75,FiGURE05,FiGURE05,1337HUANIA,16,10,Dust2
76,Wolsung,1337HUANIA,Wolsung,10,16,Mirage
77,1337HUANIA,FiGURE05,1337HUANIA,16,19,Vertigo
78,Wolsung,1337HUANIA,Wolsung,16,5,Inferno
79,1337HUANIA,Wolsung,1337HUANIA,10,16,Nuke
80,Turkey5,1337HUANIA,Turkey5,13,16,Vertigo
81,1337HUANIA,WORTEX,1337HUANIA,14,16,Dust2
82,WORTEX,1337HUANIA,WORTEX,16,9,Train
83,AllTheRage,AllTheRage,1337HUANIA,19,15,Mirage
84,1WIN,1WIN,SG.pro,16,13,Overpass
85,1WIN,EveryBodyDance,1WIN,16,9,Train
86,EveryBodyDance,1WIN,EveryBodyDance,16,5,Dust2
87,1WIN,EveryBodyDance,1WIN,12,16,Overpass
88,1WIN,1WIN,Illuminar,19,17,Nuke
89,Illuminar,Illuminar,1WIN,7,16,Overpass
90,Juggernauts,1WIN,Juggernauts,11,16,Train
91,1WIN,Illuminar,1WIN,16,8,Inferno
92,1WIN,1WIN,Juggernauts,16,12,Nuke
93,HAVU,HAVU,1WIN,16,1,Dust2
94,Nemiga,1WIN,Nemiga,16,6,Inferno
95,1WIN,HAVU,1WIN,16,8,Train
96,1WIN,1WIN,Gambit Youngsters,9,16,Mirage
97,1WIN,Juggernauts,1WIN,16,3,Inferno
98,Unique,1WIN,Unique,14,16,Train
99,Nemiga,Nemiga,1WIN,7,16,Nuke
100,1WIN,1WIN,Bogatiri,16,1,Overpass
101,1WIN,Gambit Youngsters,1WIN,16,6,Dust2
102,Bogatiri,1WIN,Bogatiri,16,8,Train
103,1WIN,Unique,1WIN,15,19,Nuke
104,1WIN,1WIN,Hard Legion,7,16,Mirage
105,Unique,Unique,1WIN,16,13,Dust2
106,1WIN,1WIN,Hard Legion,7,16,Train
107,1WIN,Hard Legion,1WIN,16,6,Overpass
108,Nemiga,1WIN,Nemiga,12,16,Mirage
109,Nemiga,Nemiga,1WIN,7,16,Nuke
110,1WIN,1WIN,pro100,16,12,Mirage
111,1WIN,Nemiga,1WIN,16,5,Inferno
112,1WIN,1WIN,pro100,6,16,Dust2
113,pro100,pro100,1WIN,16,14,Train
114,2019,2019,Giants,7,16,Train
115,2019,Throw Potential,2019,10,16,Inferno
116,Giants,2019,Giants,14,16,Dust2
117,2019,Throw Potential,2019,16,3,Mirage
118,Wisla Krakow,2115,Wisla Krakow,14,16,Inferno
119,Wisla Krakow,Wisla Krakow,2115,16,14,Train
120,2115,2115,Izako Boars,7,16,Mirage
121,2115,Izako Boars,2115,16,9,Nuke
122,2115,2115,pro100,16,13,Mirage
123,2115,Heretics,2115,14,16,Mirage
124,2115,2115,pro100,16,10,Overpass
125,2115,Heretics,2115,16,8,Dust2
126,1hp,24BHB,1hp,16,5,Inferno
127,24BHB,1hp,24BHB,10,16,Overpass
128,SHIFT,24BHB,SHIFT,12,16,Inferno
129,SHIFT,SHIFT,24BHB,16,11,Nuke
130,VG.Anthrax,24BHB,VG.Anthrax,16,9,Inferno
131,24BHB,Maple,24BHB,16,6,Inferno
132,2990,2990,EHOME,8,16,Nuke
133,2990,EHOME,2990,11,16,Inferno
134,DWFN,2990,DWFN,16,8,Overpass
135,2990,EHOME,2990,16,3,Mirage
136,2990,2990,D13,9,16,Nuke
137,DWFN,DWFN,2990,6,16,Inferno
138,2990,2990,D13,16,11,Mirage
139,D13,D13,2990,9,16,Overpass
140,2990,2990,MVP PK,3,16,Nuke
141,MVP PK,MVP PK,2990,16,10,Mirage
142,2990,2990,Ignis,31,29,Train
143,2990,Ignis,2990,14,16,Inferno
144,Absolute,2990,Absolute,14,16,Cache
145,Ignis,Ignis,2990,16,12,Train
146,2990,2990,Absolute,9,16,Mirage
147,2990,Updraft,2990,12,16,Inferno
148,Updraft,2990,Updraft,19,22,Nuke
149,2990,AUGUST,2990,16,9,Mirage
150,Updraft,2990,Updraft,12,16,Mirage
151,2990,D13,2990,16,8,Nuke
152,D13,2990,D13,10,16,Nuke
153,2990,D13,2990,16,8,Mirage
154,2990,2990,AUGUST,5,16,Train
155,2990,Mazaalai,2990,10,16,Inferno
156,Mazaalai,2990,Mazaalai,13,16,Nuke
157,Mazaalai,Mazaalai,2990,16,13,Train
158,Mazaalai,2990,Mazaalai,11,16,Inferno
159,2990,Mazaalai,2990,16,5,Mirage
160,2BYL9,2BYL9,Nemiga,3,16,Nuke
161,2BYL9,Project X,2BYL9,16,9,Nuke
162,2BYL9,2BYL9,Nemiga,16,13,Mirage
163,2BYL9,Project X,2BYL9,16,7,Mirage
164,2BYL9,2BYL9,Nemiga,16,10,Dust2
165,2BYL9,HellRaisers,2BYL9,16,3,Nuke
