Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Faint,Big Chillin,14,16,Vertigo
Team1,Faint,Big Chillin,16,14,Train
Team1,Faint,ETHEREAL,16,4,Nuke
Team1,Faint,ETHEREAL,18,22,Nuke
Team1,Faint,Oceanus,16,12,Dust2
Team1,Faint,Oceanus,16,6,Inferno
Team1,Faint,Rebirth,16,11,Dust2
Team1,Faint,Rebirth,16,5,Vertigo
Team1,Faint,Rebirth,19,15,Mirage
Team1,Faint,Recon 5,16,6,Nuke
Team1,Faint,Station7,16,1,Nuke
Team1,Faint,Thunder Logic,5,16,Inferno
Team1,Faint,bloo,7,16,Overpass
Team1,Faint,iNTACT,16,12,Vertigo
Team2,Faint,ETHEREAL,10,16,Mirage
Team2,Faint,ETHEREAL,12,16,Mirage
Team2,Faint,Polar Ace South,16,7,Nuke
Team2,Faint,Rebirth,12,16,Mirage
Team2,Faint,Rebirth,16,8,Nuke
Team2,Faint,Recon 5,13,16,Mirage
Team2,Faint,Thunder Logic,11,16,Mirage
Team2,Faint,bloo,13,16,Dust2
