Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,unknown,AGO,16,14,Inferno
Team1,unknown,AGO,7,16,Train
Team1,unknown,Chaos,16,8,Inferno
Team1,unknown,EURONICS,22,18,Inferno
Team1,unknown,HAVU,8,16,Nuke
Team1,unknown,NoChance,16,12,Train
Team1,unknown,NoChance,3,16,Dust2
Team1,unknown,tomorrow will be better,16,12,Train
Team1,unknown,x6tence Galaxy,16,11,Inferno
Team1,unknown,x6tence Galaxy,16,13,Nuke
Team1,unknown,x6tence Galaxy,7,16,Overpass
Team2,unknown,AGO,16,9,Overpass
Team2,unknown,EURONICS,14,16,Overpass
Team2,unknown,HAVU,16,6,Dust2
Team2,unknown,tomorrow will be better,13,16,Inferno
