Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Sinister5,Big 5,16,10,Overpass
Team1,Sinister5,Big 5,16,19,Train
Team1,Sinister5,Big 5,16,9,Mirage
Team1,Sinister5,Big 5,8,16,Overpass
Team1,Sinister5,Energy,6,16,Overpass
Team1,Sinister5,Goliath,10,16,Mirage
Team1,Sinister5,Goliath,16,13,Train
Team1,Sinister5,Goliath,16,7,Nuke
Team1,Sinister5,Goliath,22,19,Inferno
Team1,Sinister5,Goliath,3,16,Dust2
Team1,Sinister5,Goliath,9,16,Inferno
Team1,Sinister5,TOLY,16,13,Train
Team1,Sinister5,TOLY,16,6,Dust2
Team2,Sinister5,Big 5,16,19,Inferno
Team2,Sinister5,Energy,13,16,Train
Team2,Sinister5,Goliath,10,16,Nuke
Team2,Sinister5,Goliath,11,16,Dust2
Team2,Sinister5,ViNCO,16,6,Inferno
Team2,Sinister5,ViNCO,16,9,Mirage
Team2,Sinister5,White Rabbit,16,9,Mirage
