Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,forZe,AGO,15,19,Mirage
Team1,forZe,AGO,16,10,Nuke
Team1,forZe,AGO,16,3,Mirage
Team1,forZe,ALTERNATE aTTaX,16,11,Dust2
Team1,forZe,ALTERNATE aTTaX,16,6,Mirage
Team1,forZe,AVANGAR,16,12,Inferno
Team1,forZe,AVANGAR,16,14,Dust2
Team1,forZe,AVANGAR,16,14,Inferno
Team1,forZe,AVANGAR,4,16,Train
Team1,forZe,AVANGAR,6,16,Dust2
Team1,forZe,AVANGAR,7,16,Inferno
Team1,forZe,AVANGAR,8,16,Dust2
Team1,forZe,AVANGAR,9,16,Dust2
Team1,forZe,Ambush,16,10,Train
Team1,forZe,Ambush,16,12,Inferno
Team1,forZe,Ambush,16,14,Inferno
Team1,forZe,Ancient,11,16,Inferno
Team1,forZe,Ancient,14,16,Inferno
Team1,forZe,Ancient,16,13,Train
Team1,forZe,Aristocracy,16,14,Nuke
Team1,forZe,Asterion,16,1,Inferno
Team1,forZe,BIG,16,11,Inferno
Team1,forZe,CR4ZY,16,10,Dust2
Team1,forZe,CR4ZY,16,10,Inferno
Team1,forZe,CR4ZY,16,14,Mirage
Team1,forZe,CR4ZY,16,7,Nuke
Team1,forZe,DreamEaters,12,16,Mirage
Team1,forZe,Endpoint,16,12,Inferno
Team1,forZe,Endpoint,16,6,Inferno
Team1,forZe,Epsilon,16,13,Mirage
Team1,forZe,Epsilon,16,13,Mirage
Team1,forZe,Epsilon,6,16,Train
Team1,forZe,Espada,16,6,Nuke
Team1,forZe,Evil Geniuses,16,10,Inferno
Team1,forZe,Evil Geniuses,4,16,Nuke
Team1,forZe,G2,12,16,Inferno
Team1,forZe,G2,13,16,Dust2
Team1,forZe,G2,16,12,Overpass
Team1,forZe,G2,16,19,Overpass
Team1,forZe,G2,28,24,Inferno
Team1,forZe,GODSENT,16,13,Nuke
Team1,forZe,Gambit Youngsters,16,12,Inferno
Team1,forZe,Gambit Youngsters,22,20,Vertigo
Team1,forZe,Gambit Youngsters,6,16,Overpass
Team1,forZe,GamerLegion,11,16,Inferno
Team1,forZe,GamerLegion,16,14,Inferno
Team1,forZe,Giants,19,17,Nuke
Team1,forZe,HAVU,12,16,Nuke
Team1,forZe,HAVU,16,10,Mirage
Team1,forZe,HAVU,16,13,Mirage
Team1,forZe,HAVU,2,16,Dust2
Team1,forZe,HAVU,22,20,Train
Team1,forZe,Hard Legion,16,12,Inferno
Team1,forZe,Hard Legion,16,6,Train
Team1,forZe,HellRaisers,12,16,Train
Team1,forZe,HellRaisers,16,5,Overpass
Team1,forZe,Heretics,16,12,Nuke
Team1,forZe,Heroic,16,11,Inferno
Team1,forZe,Heroic,16,11,Inferno
Team1,forZe,Heroic,26,28,Overpass
Team1,forZe,INTZ,16,12,Mirage
Team1,forZe,Izako Boars,16,10,Overpass
Team1,forZe,Izako Boars,16,2,Mirage
Team1,forZe,Izako Boars,5,16,Dust2
Team1,forZe,Izako Boars,5,16,Nuke
Team1,forZe,Japaleno,16,8,Mirage
Team1,forZe,LDLC,16,11,Nuke
Team1,forZe,LDLC,16,14,Inferno
Team1,forZe,Liquid,13,16,Inferno
Team1,forZe,MIBR,9,16,Dust2
Team1,forZe,Marskalk,16,12,Nuke
Team1,forZe,Monolith,16,9,Train
Team1,forZe,Movistar Riders,16,11,Inferno
Team1,forZe,Mustang Crew,16,11,Train
Team1,forZe,NAVI Junior,19,16,Dust2
Team1,forZe,Nemiga,11,16,Mirage
Team1,forZe,Nemiga,12,16,Inferno
Team1,forZe,Nemiga,16,11,Inferno
Team1,forZe,Nemiga,16,11,Nuke
Team1,forZe,Nemiga,16,13,Dust2
Team1,forZe,Nemiga,16,13,Mirage
Team1,forZe,Nemiga,19,15,Dust2
Team1,forZe,Nemiga,9,16,Overpass
Team1,forZe,NoChance,14,16,Dust2
Team1,forZe,Nordavind,16,10,Inferno
Team1,forZe,Nordavind,16,12,Mirage
Team1,forZe,Nordavind,16,14,Nuke
Team1,forZe,OG,16,10,Train
Team1,forZe,OpTic,16,14,Mirage
Team1,forZe,OpTic,19,15,Train
Team1,forZe,OpTic,19,16,Nuke
Team1,forZe,OpTic,3,16,Overpass
Team1,forZe,Sharks,10,16,Train
Team1,forZe,Sharks,5,16,Inferno
Team1,forZe,SpeedRunners,16,12,Inferno
Team1,forZe,Spirit,12,16,Train
Team1,forZe,Spirit,13,16,Dust2
Team1,forZe,Spirit,14,16,Inferno
Team1,forZe,Spirit,16,12,Mirage
Team1,forZe,Spirit,19,17,Inferno
Team1,forZe,Spirit,20,22,Inferno
Team1,forZe,Spirit,22,19,Dust2
Team1,forZe,Spirit,9,16,Nuke
Team1,forZe,Sprout,13,16,Dust2
Team1,forZe,Sprout,13,16,Inferno
Team1,forZe,Sprout,16,11,Mirage
Team1,forZe,Sprout,16,12,Train
Team1,forZe,Sprout,16,14,Train
Team1,forZe,Sprout,16,7,Nuke
Team1,forZe,Sprout,25,22,Overpass
Team1,forZe,Syman,16,19,Mirage
Team1,forZe,Syman,16,6,Dust2
Team1,forZe,Syman,9,16,Mirage
Team1,forZe,Tricked,16,12,Nuke
Team1,forZe,Tricked,16,9,Train
Team1,forZe,Unicorns of Love,16,1,Nuke
Team1,forZe,Valiance,5,16,Mirage
Team1,forZe,Virtus.pro,11,16,Inferno
Team1,forZe,Virtus.pro,13,16,Inferno
Team1,forZe,Virtus.pro,16,10,Overpass
Team1,forZe,Windigo,16,11,Mirage
Team1,forZe,Winstrike,16,0,Nuke
Team1,forZe,Winstrike,16,10,Dust2
Team1,forZe,Winstrike,16,13,Dust2
Team1,forZe,Winstrike,16,13,Train
Team1,forZe,Winstrike,16,14,Nuke
Team1,forZe,Winstrike,16,14,Nuke
Team1,forZe,Winstrike,16,6,Mirage
Team1,forZe,Winstrike,16,6,Overpass
Team1,forZe,Winstrike,16,7,Mirage
Team1,forZe,Winstrike,16,8,Mirage
Team1,forZe,Winstrike,17,19,Nuke
Team1,forZe,cats,16,13,Mirage
Team1,forZe,cats,16,4,Inferno
Team1,forZe,cats,6,16,Inferno
Team1,forZe,devils.one,16,13,Mirage
Team1,forZe,devils.one,16,14,Mirage
Team1,forZe,devils.one,19,17,Train
Team1,forZe,ex-3DMAX,9,16,Inferno
Team1,forZe,ex-Epsilon,16,11,Inferno
Team1,forZe,ex-Epsilon,5,16,Dust2
Team1,forZe,fnatic,12,16,Dust2
Team1,forZe,mousesports,4,16,Dust2
