Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Neverest,Asterius,16,13,Mirage
Team1,Neverest,RED Canids,16,10,Overpass
Team1,Neverest,Reapers,10,16,Inferno
Team1,Neverest,Reapers,19,17,Vertigo
Team1,Neverest,Rejected,19,17,Inferno
Team1,Neverest,Rysix,16,10,Inferno
Team1,Neverest,SWS,9,16,Inferno
Team1,Neverest,TRZ,2,16,Train
Team1,Neverest,TRZ,6,16,Inferno
Team1,Neverest,ex-UP,16,11,Vertigo
Team1,Neverest,fakeDOSPRO,15,19,Vertigo
Team2,Neverest,Asterius,12,16,Nuke
Team2,Neverest,NOORG,11,16,Mirage
Team2,Neverest,Reapers,10,16,Mirage
Team2,Neverest,Rejected,16,3,Nuke
Team2,Neverest,Rysix,16,4,Nuke
Team2,Neverest,SWS,16,6,Mirage
Team2,Neverest,SWS,16,9,Dust2
Team2,Neverest,UP,11,16,Vertigo
