Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Windigo,3DMAX,16,1,Dust2
Team1,Windigo,3DMAX,16,13,Inferno
Team1,Windigo,3DMAX,16,6,Overpass
Team1,Windigo,3DMAX,6,16,Mirage
Team1,Windigo,ALTERNATE aTTaX,16,13,Mirage
Team1,Windigo,ALTERNATE aTTaX,16,14,Cache
Team1,Windigo,Aristocracy,17,19,Overpass
Team1,Windigo,ENCE,3,16,Inferno
Team1,Windigo,Epsilon,14,16,Mirage
Team1,Windigo,Epsilon,16,14,Nuke
Team1,Windigo,Espada,16,14,Mirage
Team1,Windigo,Espada,16,5,Train
Team1,Windigo,G2,16,14,Inferno
Team1,Windigo,G2,4,16,Inferno
Team1,Windigo,GamerLegion,14,16,Mirage
Team1,Windigo,GamerLegion,16,10,Overpass
Team1,Windigo,GamerLegion,16,12,Dust2
Team1,Windigo,GamerLegion,19,17,Dust2
Team1,Windigo,GamerLegion,5,16,Overpass
Team1,Windigo,GamerLegion,7,16,Vertigo
Team1,Windigo,HAVU,16,11,Mirage
Team1,Windigo,HAVU,16,3,Mirage
Team1,Windigo,HellRaisers,16,8,Inferno
Team1,Windigo,Heretics,16,10,Nuke
Team1,Windigo,Heretics,16,13,Train
Team1,Windigo,Heretics,8,16,Dust2
Team1,Windigo,LDLC,16,7,Overpass
Team1,Windigo,Lyngby Vikings,16,11,Nuke
Team1,Windigo,Lyngby Vikings,16,12,Dust2
Team1,Windigo,MIBR,16,13,Overpass
Team1,Windigo,MIBR,8,16,Train
Team1,Windigo,Movistar Riders,19,16,Mirage
Team1,Windigo,Natus Vincere,14,16,Dust2
Team1,Windigo,Nemiga,16,12,Overpass
Team1,Windigo,Nemiga,5,16,Mirage
Team1,Windigo,NiP,16,7,Dust2
Team1,Windigo,NoChance,16,10,Cache
Team1,Windigo,NoChance,16,12,Dust2
Team1,Windigo,NoChance,16,12,Inferno
Team1,Windigo,NoChance,16,14,Dust2
Team1,Windigo,NoChance,5,16,Dust2
Team1,Windigo,NoChance,5,16,Overpass
Team1,Windigo,NoChance,7,16,Mirage
Team1,Windigo,NoChance,8,16,Dust2
Team1,Windigo,Nordavind,16,11,Nuke
Team1,Windigo,Nordavind,16,14,Overpass
Team1,Windigo,North,13,16,Dust2
Team1,Windigo,PACT,16,13,Inferno
Team1,Windigo,PACT,22,19,Nuke
Team1,Windigo,SMASH,16,10,Dust2
Team1,Windigo,SMASH,16,10,Mirage
Team1,Windigo,SMASH,6,16,Nuke
Team1,Windigo,Sprout,16,12,Dust2
Team1,Windigo,TYLOO,16,4,Overpass
Team1,Windigo,Turkey5,12,16,Nuke
Team1,Windigo,Turkey5,16,13,Mirage
Team1,Windigo,Unique,19,17,Train
Team1,Windigo,Valiance,15,19,Dust2
Team1,Windigo,Valiance,16,10,Dust2
Team1,Windigo,Valiance,16,14,Dust2
Team1,Windigo,Valiance,16,14,Mirage
Team1,Windigo,Valiance,16,14,Train
Team1,Windigo,Valiance,3,16,Mirage
Team1,Windigo,Valiance,5,16,Mirage
Team1,Windigo,Valiance,7,16,Train
Team1,Windigo,Valiance,8,16,Dust2
Team1,Windigo,Valiance,8,16,Train
Team1,Windigo,Valiance,9,16,Mirage
Team1,Windigo,Vexed,16,6,Cache
