Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,GAMERZONE,Apeks,16,14,Mirage
Team1,GAMERZONE,Bpro,16,12,Train
Team1,GAMERZONE,Bpro,16,14,Mirage
Team1,GAMERZONE,EX5,16,11,Inferno
Team1,GAMERZONE,Lyngby Vikings,16,3,Mirage
Team1,GAMERZONE,MIBR,9,16,Mirage
Team1,GAMERZONE,Salamander,16,13,Inferno
Team1,GAMERZONE,Salamander,6,16,Nuke
Team1,GAMERZONE,Turkey5,16,11,Mirage
Team1,GAMERZONE,Turkey5,8,16,Inferno
Team2,GAMERZONE,Apeks,10,16,Overpass
Team2,GAMERZONE,Lyngby Vikings,16,19,Nuke
Team2,GAMERZONE,Turkey5,13,16,Train
