Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Big Chillin,Gorilla Gang,12,16,Train
Team1,Big Chillin,Gorilla Gang,16,11,Overpass
Team1,Big Chillin,Prospects,16,4,Train
Team1,Big Chillin,Serac,16,11,Inferno
Team1,Big Chillin,Stay Frosty,7,16,Nuke
Team1,Big Chillin,Stay Frosty,7,16,Overpass
Team2,Big Chillin,Faint,14,16,Mirage
Team2,Big Chillin,Prospects,11,16,Vertigo
Team2,Big Chillin,Serac,11,16,Vertigo
Team2,Big Chillin,timbermen,10,16,Dust2
Team2,Big Chillin,voLante,16,4,Cache
Team2,Big Chillin,x1 Mob,16,7,Dust2
