Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Natus Vincere,AVANGAR,16,11,Train
Team1,Natus Vincere,Astralis,16,10,Dust2
Team1,Natus Vincere,Astralis,16,14,Inferno
Team1,Natus Vincere,Astralis,5,16,Inferno
Team1,Natus Vincere,BIG,16,11,Dust2
Team1,Natus Vincere,BIG,16,5,Mirage
Team1,Natus Vincere,BIG,7,16,Nuke
Team1,Natus Vincere,BIG,7,16,Nuke
Team1,Natus Vincere,BIG,7,16,Nuke
Team1,Natus Vincere,BIG,7,16,Nuke
Team1,Natus Vincere,BIG,7,16,Nuke
Team1,Natus Vincere,BIG,7,16,Nuke
Team1,Natus Vincere,BIG,7,16,Nuke
Team1,Natus Vincere,BIG,7,16,Nuke
Team1,Natus Vincere,BIG,7,16,Nuke
Team1,Natus Vincere,BIG,7,16,Nuke
Team1,Natus Vincere,BIG,7,16,Nuke
Team1,Natus Vincere,BIG,7,16,Nuke
Team1,Natus Vincere,CR4ZY,16,12,Inferno
Team1,Natus Vincere,Complexity,16,8,Dust2
Team1,Natus Vincere,ENCE,16,11,Overpass
Team1,Natus Vincere,ENCE,16,12,Inferno
Team1,Natus Vincere,ENCE,16,3,Dust2
Team1,Natus Vincere,Espada,19,17,Nuke
Team1,Natus Vincere,Evil Geniuses,16,5,Dust2
Team1,Natus Vincere,FURIA,16,12,Nuke
Team1,Natus Vincere,FURIA,16,14,Overpass
Team1,Natus Vincere,FaZe,16,13,Inferno
Team1,Natus Vincere,FaZe,16,13,Train
Team1,Natus Vincere,FaZe,16,14,Dust2
Team1,Natus Vincere,FaZe,16,6,Dust2
Team1,Natus Vincere,FaZe,16,7,Mirage
Team1,Natus Vincere,FaZe,8,16,Nuke
Team1,Natus Vincere,FaZe,9,16,Nuke
Team1,Natus Vincere,FaZe,9,16,Nuke
Team1,Natus Vincere,G2,16,10,Overpass
Team1,Natus Vincere,G2,16,11,Train
Team1,Natus Vincere,G2,16,13,Dust2
Team1,Natus Vincere,G2,16,13,Dust2
Team1,Natus Vincere,G2,16,13,Overpass
Team1,Natus Vincere,GODSENT,16,13,Train
Team1,Natus Vincere,GODSENT,16,13,Train
Team1,Natus Vincere,Heroic,16,6,Train
Team1,Natus Vincere,Heroic,9,16,Nuke
Team1,Natus Vincere,Liquid,16,14,Dust2
Team1,Natus Vincere,Liquid,16,14,Overpass
Team1,Natus Vincere,Liquid,8,16,Mirage
Team1,Natus Vincere,MIBR,16,11,Mirage
Team1,Natus Vincere,MIBR,16,4,Dust2
Team1,Natus Vincere,MIBR,16,4,Inferno
Team1,Natus Vincere,NRG,16,13,Mirage
Team1,Natus Vincere,NRG,17,19,Mirage
Team1,Natus Vincere,NiP,16,10,Nuke
Team1,Natus Vincere,NiP,16,10,Train
Team1,Natus Vincere,NiP,16,13,Nuke
Team1,Natus Vincere,NiP,16,4,Mirage
