Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Inflames,DETONA,19,17,Inferno
Team1,Inflames,Reapers,16,12,Dust2
Team1,Inflames,Redemption POA,16,10,Mirage
Team1,Inflames,Redemption POA,16,13,Nuke
Team1,Inflames,Redemption POA,16,14,Mirage
Team1,Inflames,Sharks,17,19,Mirage
Team1,Inflames,WePlayGames,16,14,Inferno
Team2,Inflames,INTZ.Academy,16,8,Mirage
Team2,Inflames,Itakera Classic,16,6,Mirage
Team2,Inflames,RED Canids,16,9,Nuke
Team2,Inflames,Reapers,16,7,Mirage
Team2,Inflames,Redemption POA,16,8,Train
Team2,Inflames,W7M,12,16,Mirage
Team2,Inflames,WePlayGames,16,9,Overpass
