Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,FrenchFrogs,G2,11,16,Inferno
Team1,FrenchFrogs,G2,4,16,Nuke
Team1,FrenchFrogs,Giants,16,10,Inferno
Team1,FrenchFrogs,Nemiga,16,10,Dust2
Team1,FrenchFrogs,Nordavind,16,19,Inferno
Team1,FrenchFrogs,Nordavind,7,16,Nuke
Team1,FrenchFrogs,expert,16,13,Inferno
Team1,FrenchFrogs,forZe,8,16,Overpass
Team2,FrenchFrogs,AVANGAR,13,16,Dust2
Team2,FrenchFrogs,Endpoint,16,5,Mirage
Team2,FrenchFrogs,Nemiga,14,16,Nuke
Team2,FrenchFrogs,Nemiga,17,19,Mirage
Team2,FrenchFrogs,Nordavind,10,16,Inferno
Team2,FrenchFrogs,Nordavind,21,25,Nuke
Team2,FrenchFrogs,OpTic,12,16,Nuke
Team2,FrenchFrogs,SJ,16,19,Dust2
Team2,FrenchFrogs,Virtus.pro,11,16,Mirage
Team2,FrenchFrogs,ex-Fragsters,17,19,Nuke
Team2,FrenchFrogs,forZe,1,16,Inferno
