Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Nemiga,1WIN,16,12,Mirage
Team1,Nemiga,1WIN,6,16,Inferno
Team1,Nemiga,1WIN,7,16,Nuke
Team1,Nemiga,1WIN,7,16,Nuke
Team1,Nemiga,AGO,16,10,Overpass
Team1,Nemiga,ARCY,12,16,Mirage
Team1,Nemiga,ARCY,6,16,Vertigo
Team1,Nemiga,ARCY,8,16,Mirage
Team1,Nemiga,AVANGAR,6,16,Inferno
Team1,Nemiga,BLUEJAYS,16,10,Mirage
Team1,Nemiga,BLUEJAYS,16,10,Mirage
Team1,Nemiga,Budapest Five,16,10,Inferno
Team1,Nemiga,Chaos,14,16,Dust2
Team1,Nemiga,Chaos,16,10,Dust2
Team1,Nemiga,Chaos,16,11,Vertigo
Team1,Nemiga,Chaos,16,13,Mirage
Team1,Nemiga,Chaos,7,16,Overpass
Team1,Nemiga,Chaos,9,16,Mirage
Team1,Nemiga,Chaos,9,16,Mirage
Team1,Nemiga,Chaos,9,16,Overpass
Team1,Nemiga,Defusekids,16,13,Nuke
Team1,Nemiga,Defusekids,16,6,Mirage
Team1,Nemiga,Demolition Crew,16,12,Inferno
Team1,Nemiga,Demolition Crew,19,17,Mirage
Team1,Nemiga,Dracarys,16,12,Mirage
Team1,Nemiga,DreamEaters,14,16,Inferno
Team1,Nemiga,DreamEaters,16,10,Vertigo
Team1,Nemiga,DreamEaters,16,12,Inferno
Team1,Nemiga,Epsilon,16,10,Inferno
Team1,Nemiga,Epsilon,16,10,Inferno
Team1,Nemiga,Epsilon,16,14,Mirage
Team1,Nemiga,Epsilon,19,15,Overpass
Team1,Nemiga,FATE,16,12,Dust2
Team1,Nemiga,FATE,16,9,Inferno
Team1,Nemiga,FrenchFrogs,16,13,Inferno
Team1,Nemiga,GODSENT,16,11,Nuke
Team1,Nemiga,GODSENT,9,16,Inferno
Team1,Nemiga,Gambit,4,16,Inferno
Team1,Nemiga,Gambit,9,16,Train
Team1,Nemiga,Gambit Youngsters,16,13,Inferno
Team1,Nemiga,Gambit Youngsters,16,13,Inferno
Team1,Nemiga,Gambit Youngsters,16,3,Mirage
Team1,Nemiga,Gambit Youngsters,16,8,Overpass
Team1,Nemiga,Gambit Youngsters,9,16,Mirage
Team1,Nemiga,GamerLegion,16,11,Nuke
Team1,Nemiga,GamerLegion,16,12,Inferno
Team1,Nemiga,GamerLegion,7,16,Inferno
Team1,Nemiga,HAVU,11,16,Nuke
Team1,Nemiga,HAVU,22,18,Dust2
Team1,Nemiga,Hard Legion,16,12,Dust2
Team1,Nemiga,Hard Legion,19,17,Vertigo
Team1,Nemiga,Hard Legion,8,16,Overpass
Team1,Nemiga,Hard Legion,9,16,Overpass
Team1,Nemiga,HellRaisers,16,10,Inferno
Team1,Nemiga,HellRaisers,16,10,Overpass
Team1,Nemiga,Heretics,16,13,Inferno
Team1,Nemiga,Illuminar,16,13,Mirage
Team1,Nemiga,Izako Boars,16,10,Dust2
Team1,Nemiga,Izako Boars,16,10,Inferno
Team1,Nemiga,Izako Boars,5,16,Nuke
Team1,Nemiga,Juggernauts,11,16,Inferno
Team1,Nemiga,Juggernauts,16,11,Nuke
Team1,Nemiga,MiTH.Maple,16,10,Dust2
Team1,Nemiga,NoChance,16,12,Inferno
Team1,Nemiga,NoChance,3,16,Train
Team1,Nemiga,NoChance,8,16,Inferno
Team1,Nemiga,Nordavind,5,16,Vertigo
Team1,Nemiga,Nordavind,9,16,Inferno
Team1,Nemiga,PACT,16,14,Dust2
Team1,Nemiga,PACT,19,16,Mirage
Team1,Nemiga,PACT,9,16,Nuke
Team1,Nemiga,Phoenix,6,16,Dust2
Team1,Nemiga,Project X,16,10,Nuke
Team1,Nemiga,Project X,16,12,Overpass
Team1,Nemiga,Ronin Horde,16,4,Dust2
Team1,Nemiga,Sharks,16,13,Nuke
Team1,Nemiga,Singularity,9,16,Nuke
Team1,Nemiga,Skin Ogres,13,16,Inferno
Team1,Nemiga,Skin Ogres,19,17,Mirage
Team1,Nemiga,Smoke Criminals,16,14,Inferno
Team1,Nemiga,Smoke Criminals,16,6,Dust2
Team1,Nemiga,Spirit,10,16,Mirage
Team1,Nemiga,Spirit,16,11,Inferno
Team1,Nemiga,Spirit,16,13,Mirage
Team1,Nemiga,Spirit,4,16,Nuke
Team1,Nemiga,Syman,12,16,Dust2
Team1,Nemiga,Syman,16,12,Inferno
Team1,Nemiga,Syman,16,8,Nuke
Team1,Nemiga,Tricked,17,19,Mirage
Team1,Nemiga,Tricked,7,16,Nuke
Team1,Nemiga,Unicorns of Love,16,14,Nuke
Team1,Nemiga,Unicorns of Love,7,16,Inferno
Team1,Nemiga,Unique,14,16,Mirage
Team1,Nemiga,Unique,16,10,Inferno
Team1,Nemiga,Unique,16,11,Nuke
Team1,Nemiga,Unique,16,11,Nuke
Team1,Nemiga,Unique,16,13,Mirage
Team1,Nemiga,Unique,16,19,Inferno
Team1,Nemiga,Unique,16,9,Mirage
Team1,Nemiga,Unique,19,16,Mirage
Team1,Nemiga,Unique,22,19,Dust2
Team1,Nemiga,Unique,22,20,Mirage
Team1,Nemiga,Unique,7,16,Nuke
Team1,Nemiga,Unique,8,16,Vertigo
Team1,Nemiga,Vaevictis,22,19,Mirage
Team1,Nemiga,Vega Squadron,16,11,Mirage
Team1,Nemiga,Vega Squadron,16,6,Vertigo
Team1,Nemiga,Vexed,16,13,Inferno
Team1,Nemiga,Virtus.pro,16,10,Inferno
Team1,Nemiga,Virtus.pro,16,12,Inferno
Team1,Nemiga,Virtus.pro,16,13,Overpass
Team1,Nemiga,Virtus.pro,16,8,Dust2
Team1,Nemiga,Virtus.pro,16,8,Nuke
Team1,Nemiga,Virtus.pro,6,16,Vertigo
Team1,Nemiga,Vitality,16,13,Inferno
Team1,Nemiga,Vitality,6,16,Dust2
Team1,Nemiga,Warthox,9,16,Inferno
Team1,Nemiga,Windigo,16,11,Inferno
Team1,Nemiga,Windigo Academy,8,16,Nuke
Team1,Nemiga,Winstrike,16,13,Dust2
Team1,Nemiga,Wisla Krakow,16,12,Vertigo
Team1,Nemiga,Zorka,16,11,Dust2
Team1,Nemiga,Zorka,16,8,Nuke
Team1,Nemiga,ex-3DMAX,8,16,Dust2
Team1,Nemiga,ex-3DMAX,9,16,Mirage
Team1,Nemiga,ex-3DMAX,9,16,Nuke
Team1,Nemiga,pro100,16,10,Dust2
Team1,Nemiga,pro100,16,12,Vertigo
Team2,Nemiga,AGO,11,16,Mirage
Team2,Nemiga,AGO,12,16,Mirage
Team2,Nemiga,AGO,13,16,Inferno
Team2,Nemiga,AGO,13,16,Nuke
Team2,Nemiga,AGO,16,19,Inferno
Team2,Nemiga,ARCY,14,16,Train
Team2,Nemiga,AVANGAR,0,16,Dust2
Team2,Nemiga,AVANGAR,11,16,Overpass
Team2,Nemiga,BLUEJAYS,16,7,Inferno
Team2,Nemiga,BLUEJAYS,16,7,Nuke
Team2,Nemiga,Budapest Five,11,16,Mirage
Team2,Nemiga,Chaos,10,16,Overpass
Team2,Nemiga,Chaos,16,4,Dust2
Team2,Nemiga,Demise,16,9,Overpass
Team2,Nemiga,Demolition Crew,10,16,Inferno
Team2,Nemiga,Demolition Crew,16,6,Overpass
Team2,Nemiga,Dracarys,10,16,Inferno
Team2,Nemiga,Dracarys,16,5,Inferno
Team2,Nemiga,Dracarys,16,5,Mirage
Team2,Nemiga,Dracarys,16,8,Nuke
Team2,Nemiga,DreamEaters,14,16,Dust2
Team2,Nemiga,DreamEaters,16,3,Mirage
Team2,Nemiga,DreamEaters,17,19,Overpass
Team2,Nemiga,Epsilon,12,16,Overpass
Team2,Nemiga,Epsilon,16,8,Mirage
Team2,Nemiga,Giants,16,7,Dust2
Team2,Nemiga,HAVU,10,16,Inferno
Team2,Nemiga,HAVU,17,19,Nuke
Team2,Nemiga,Hard Legion,10,16,Overpass
Team2,Nemiga,Hard Legion,11,16,Inferno
Team2,Nemiga,Hard Legion,14,16,Vertigo
Team2,Nemiga,Heretics,16,7,Dust2
Team2,Nemiga,Izako Boars,16,6,Dust2
Team2,Nemiga,Japaleno,14,16,Dust2
Team2,Nemiga,LDLC,16,4,Inferno
Team2,Nemiga,Movistar Riders,11,16,Train
Team2,Nemiga,Nordavind,16,6,Nuke
Team2,Nemiga,North,16,9,Nuke
Team2,Nemiga,OwmS,16,8,Nuke
Team2,Nemiga,PACT,11,16,Nuke
Team2,Nemiga,Phoenix,16,2,Overpass
Team2,Nemiga,Ronin Horde,16,7,Train
Team2,Nemiga,Sharks,16,6,Inferno
Team2,Nemiga,Spirit,11,16,Nuke
Team2,Nemiga,Spirit,14,16,Overpass
Team2,Nemiga,Spirit,16,7,Dust2
Team2,Nemiga,Spirit,16,8,Inferno
Team2,Nemiga,Syman,12,16,Mirage
Team2,Nemiga,Syman,16,4,Dust2
Team2,Nemiga,Tricked,16,8,Inferno
Team2,Nemiga,Unique,14,16,Nuke
Team2,Nemiga,Unique,16,5,Dust2
Team2,Nemiga,Unique,16,6,Inferno
Team2,Nemiga,Unique,21,25,Dust2
Team2,Nemiga,Vaevictis,16,3,Inferno
Team2,Nemiga,Vexed,10,16,Mirage
Team2,Nemiga,Virtus.pro,16,2,Mirage
Team2,Nemiga,Vitality,11,16,Overpass
Team2,Nemiga,Windigo,14,16,Inferno
Team2,Nemiga,Windigo,14,16,Mirage
Team2,Nemiga,Windigo,19,22,Overpass
Team2,Nemiga,Windigo,22,25,Overpass
Team2,Nemiga,Windigo Academy,16,7,Dust2
Team2,Nemiga,Winstrike,13,16,Nuke
Team2,Nemiga,Wisla Krakow,16,6,Inferno
