Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Liquid,100 Thieves,16,14,Mirage
Team1,Liquid,100 Thieves,19,16,Vertigo
Team1,Liquid,ATK,16,12,Inferno
Team1,Liquid,ATK,16,3,Dust2
Team1,Liquid,Astralis,13,16,Dust2
Team1,Liquid,Astralis,13,16,Inferno
Team1,Liquid,Astralis,13,16,Overpass
Team1,Liquid,Astralis,16,13,Vertigo
Team1,Liquid,Astralis,16,9,Dust2
Team1,Liquid,Astralis,19,15,Vertigo
Team1,Liquid,Astralis,2,16,Overpass
Team1,Liquid,Astralis,8,16,Dust2
Team1,Liquid,Astralis,8,16,Vertigo
Team1,Liquid,Astralis,9,16,Vertigo
Team1,Liquid,Bad News Bears,16,10,Mirage
Team1,Liquid,Bad News Bears,9,16,Nuke
Team1,Liquid,Chaos,11,16,Mirage
Team1,Liquid,Cloud9,16,14,Overpass
Team1,Liquid,ENCE,16,14,Inferno
Team1,Liquid,ENCE,16,19,Inferno
Team1,Liquid,Envy,7,16,Dust2
Team1,Liquid,Envy,7,16,Nuke
Team1,Liquid,Evil Geniuses,16,10,Inferno
Team1,Liquid,Evil Geniuses,16,11,Dust2
Team1,Liquid,Evil Geniuses,16,12,Dust2
Team1,Liquid,Evil Geniuses,16,13,Nuke
Team1,Liquid,Evil Geniuses,16,14,Dust2
Team1,Liquid,Evil Geniuses,16,14,Nuke
Team1,Liquid,Evil Geniuses,22,19,Inferno
Team1,Liquid,FURIA,11,16,Inferno
Team1,Liquid,FURIA,13,16,Inferno
Team1,Liquid,FURIA,16,10,Nuke
Team1,Liquid,FURIA,16,13,Nuke
Team1,Liquid,FURIA,16,4,Overpass
Team1,Liquid,FURIA,5,16,Vertigo
Team1,Liquid,FaZe,12,16,Dust2
Team1,Liquid,FaZe,16,10,Nuke
Team1,Liquid,FaZe,16,13,Nuke
Team1,Liquid,FaZe,16,6,Inferno
Team1,Liquid,FaZe,5,16,Inferno
Team1,Liquid,FaZe,6,16,Mirage
Team1,Liquid,G2,25,22,Inferno
Team1,Liquid,Ghost,16,10,Dust2
Team1,Liquid,Ghost,16,10,Overpass
Team1,Liquid,INTZ,16,10,Mirage
Team1,Liquid,Lazarus,16,4,Overpass
Team1,Liquid,Luminosity,13,16,Vertigo
Team1,Liquid,Luminosity,16,11,Mirage
Team1,Liquid,MIBR,16,10,Mirage
Team1,Liquid,MIBR,16,2,Dust2
Team1,Liquid,MIBR,16,9,Inferno
Team1,Liquid,MIBR,19,15,Nuke
Team1,Liquid,MIBR,22,19,Vertigo
Team1,Liquid,MIBR,6,16,Mirage
Team1,Liquid,MVP PK,16,14,Nuke
Team1,Liquid,NRG,16,12,Nuke
Team1,Liquid,NRG,22,20,Inferno
Team1,Liquid,NRG,9,16,Dust2
Team1,Liquid,Natus Vincere,13,16,Mirage
Team1,Liquid,Natus Vincere,16,12,Inferno
Team1,Liquid,Natus Vincere,16,14,Mirage
Team1,Liquid,NiP,16,10,Overpass
Team1,Liquid,NiP,16,10,Vertigo
Team1,Liquid,NiP,16,11,Nuke
Team1,Liquid,NiP,16,13,Overpass
Team1,Liquid,NiP,16,14,Mirage
Team1,Liquid,NiP,16,14,Overpass
Team1,Liquid,NiP,19,17,Mirage
Team1,Liquid,NoChance,16,4,Nuke
Team1,Liquid,North,16,10,Mirage
Team1,Liquid,North,16,11,Nuke
Team1,Liquid,North,16,12,Mirage
Team1,Liquid,North,16,12,Vertigo
Team1,Liquid,Renegades,16,12,Inferno
Team1,Liquid,Rogue,8,16,Overpass
Team1,Liquid,Singularity,19,15,Dust2
