Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Goliath,5orgless,16,10,Inferno
Team1,Goliath,Aequus,2,16,Vertigo
Team1,Goliath,Aequus,4,16,Mirage
Team1,Goliath,Big 5,16,12,Inferno
Team1,Goliath,Big 5,16,5,Mirage
Team1,Goliath,Energy,11,16,Train
Team1,Goliath,Energy,16,10,Mirage
Team1,Goliath,Energy,4,16,Overpass
Team1,Goliath,Exdee,16,13,Nuke
Team1,Goliath,Exdee,19,16,Mirage
Team1,Goliath,HellRaisers,6,16,Overpass
Team1,Goliath,HellRaisers,8,16,Inferno
Team1,Goliath,NASR,11,16,Inferno
Team1,Goliath,NASR,16,12,Overpass
Team1,Goliath,Sinister5,16,4,Overpass
Team1,Goliath,Sinister5,16,6,Train
Team1,Goliath,TOLY,16,11,Dust2
Team1,Goliath,ViNCO,16,1,Mirage
Team1,Goliath,Yalla,4,16,Inferno
Team2,Goliath,5orgless,16,9,Train
Team2,Goliath,Big 5,16,6,Nuke
Team2,Goliath,Big 5,16,9,Train
Team2,Goliath,Sinister5,11,16,Nuke
Team2,Goliath,TOLY,16,6,Inferno
Team2,Goliath,ViNCO,16,9,Inferno
Team2,Goliath,Yalla,17,19,Train
