Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,JiJieHao,5POWER,19,15,Inferno
Team1,JiJieHao,5POWER,3,16,Nuke
Team1,JiJieHao,5POWER,7,16,Inferno
Team1,JiJieHao,BTRG,16,10,Train
Team1,JiJieHao,Beyond,10,16,Mirage
Team1,JiJieHao,Beyond,6,16,Overpass
Team1,JiJieHao,D13,13,16,Mirage
Team1,JiJieHao,D13,16,14,Train
Team1,JiJieHao,Invictus,16,5,Dust2
Team1,JiJieHao,Lynn Vision,16,11,Dust2
Team1,JiJieHao,OneThree,16,11,Train
Team1,JiJieHao,Very1z,16,11,Mirage
Team1,JiJieHao,Very1z,6,16,Inferno
Team1,JiJieHao,ViCi,4,16,Train
Team1,JiJieHao,Xwar,16,10,Dust2
Team2,JiJieHao,BTRG,16,8,Mirage
Team2,JiJieHao,EHOME,10,16,Train
Team2,JiJieHao,Very1z,11,16,Dust2
Team2,JiJieHao,ViCi,13,16,Nuke
Team2,JiJieHao,ViCi,16,2,Mirage
Team2,JiJieHao,Xwar,16,3,Mirage
