Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Movistar Riders,ALTERNATE aTTaX,16,13,Overpass
Team1,Movistar Riders,AVANGAR,7,16,Nuke
Team1,Movistar Riders,Akopalipsa,7,16,Inferno
Team1,Movistar Riders,Ambush,16,11,Overpass
Team1,Movistar Riders,Ancient,16,12,Inferno
Team1,Movistar Riders,Aristocracy,16,11,Train
Team1,Movistar Riders,BIG,19,15,Mirage
Team1,Movistar Riders,BIG,19,16,Overpass
Team1,Movistar Riders,BIG,22,20,Overpass
Team1,Movistar Riders,Baecon,16,3,Train
Team1,Movistar Riders,CR4ZY,16,10,Nuke
Team1,Movistar Riders,Chaos,16,12,Mirage
Team1,Movistar Riders,Chaos,16,13,Overpass
Team1,Movistar Riders,Chaos,2,16,Inferno
Team1,Movistar Riders,Copenhagen Flames,12,16,Overpass
Team1,Movistar Riders,Copenhagen Flames,16,9,Train
Team1,Movistar Riders,Cream,19,15,Inferno
Team1,Movistar Riders,DETONA,16,3,Overpass
Team1,Movistar Riders,DETONA,7,16,Train
Team1,Movistar Riders,Dragons,16,5,Inferno
Team1,Movistar Riders,DreamEaters,15,19,Mirage
Team1,Movistar Riders,ENCE,16,14,Nuke
Team1,Movistar Riders,ENCE,8,16,Mirage
Team1,Movistar Riders,Endpoint,16,11,Mirage
Team1,Movistar Riders,Epsilon,16,10,Vertigo
Team1,Movistar Riders,Epsilon,16,14,Inferno
Team1,Movistar Riders,Epsilon,16,6,Inferno
Team1,Movistar Riders,Epsilon,2,16,Mirage
Team1,Movistar Riders,Epsilon,8,16,Inferno
Team1,Movistar Riders,FATE,12,16,Vertigo
Team1,Movistar Riders,FATE,16,14,Vertigo
Team1,Movistar Riders,FATE,16,9,Train
Team1,Movistar Riders,FATE,8,16,Inferno
Team1,Movistar Riders,FATE,8,16,Mirage
Team1,Movistar Riders,FURIA,13,16,Nuke
Team1,Movistar Riders,FaZe,7,16,Inferno
Team1,Movistar Riders,GODSENT,16,14,Inferno
Team1,Movistar Riders,Gambit Youngsters,10,16,Train
Team1,Movistar Riders,GamerLegion,16,11,Overpass
Team1,Movistar Riders,GamerLegion,19,17,Train
Team1,Movistar Riders,GamerLegion,3,16,Overpass
Team1,Movistar Riders,GamerLegion,8,16,Train
Team1,Movistar Riders,Giants,16,10,Overpass
Team1,Movistar Riders,Giants,16,11,Mirage
Team1,Movistar Riders,HAVU,16,13,Nuke
Team1,Movistar Riders,Hard Legion,16,10,Inferno
Team1,Movistar Riders,HellRaisers,16,12,Inferno
Team1,Movistar Riders,HellRaisers,7,16,Inferno
Team1,Movistar Riders,Heretics,14,16,Inferno
Team1,Movistar Riders,Heretics,16,10,Nuke
Team1,Movistar Riders,Heretics,16,8,Overpass
Team1,Movistar Riders,Illuminar,4,16,Nuke
Team1,Movistar Riders,Japaleno,4,16,Overpass
Team1,Movistar Riders,LDLC,19,17,Overpass
Team1,Movistar Riders,MAD Lions,16,14,Nuke
Team1,Movistar Riders,MAD Lions,16,6,Inferno
Team1,Movistar Riders,NAVI Junior,16,6,Overpass
Team1,Movistar Riders,Nordavind,9,16,Overpass
Team1,Movistar Riders,OFFSET,16,12,Vertigo
Team1,Movistar Riders,OFFSET,16,12,Vertigo
Team1,Movistar Riders,OFFSET,16,13,Inferno
Team1,Movistar Riders,Owned,16,12,Nuke
Team1,Movistar Riders,Owned,16,14,Overpass
Team1,Movistar Riders,Phoenix,16,11,Inferno
Team1,Movistar Riders,S2V,16,10,Overpass
Team1,Movistar Riders,SJ,16,11,Mirage
Team1,Movistar Riders,SMASH,16,7,Nuke
Team1,Movistar Riders,SMASH,17,19,Inferno
Team1,Movistar Riders,Salamander,16,13,Nuke
Team1,Movistar Riders,Spirit,16,12,Inferno
Team1,Movistar Riders,Spirit,16,13,Train
Team1,Movistar Riders,Spirit,25,23,Inferno
Team1,Movistar Riders,Spirit,5,16,Overpass
Team1,Movistar Riders,Spirit,7,16,Mirage
Team1,Movistar Riders,Spirit,8,16,Nuke
Team1,Movistar Riders,Sprout,13,16,Mirage
Team1,Movistar Riders,Sprout,13,16,Nuke
Team1,Movistar Riders,Sprout,16,11,Vertigo
Team1,Movistar Riders,Sprout,16,13,Mirage
Team1,Movistar Riders,Sprout,16,4,Inferno
Team1,Movistar Riders,Sprout,16,9,Overpass
Team1,Movistar Riders,Sprout,4,16,Train
Team1,Movistar Riders,Sprout,7,16,Vertigo
Team1,Movistar Riders,Syman,11,16,Mirage
Team1,Movistar Riders,Syman,8,16,Mirage
Team1,Movistar Riders,Throw Potential,16,14,Train
Team1,Movistar Riders,Tricked,8,16,Train
Team1,Movistar Riders,Valiance,16,14,Train
Team1,Movistar Riders,Virtus.pro,16,10,Mirage
