Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Nexus,ARYO,13,16,Train
Team1,Nexus,ARYO,16,9,Inferno
Team1,Nexus,ARYO,6,16,Mirage
Team1,Nexus,Dawn of Stars,16,2,Vertigo
Team1,Nexus,Dawn of Stars,21,19,Inferno
Team1,Nexus,HAVU,16,14,Dust2
Team1,Nexus,HAVU,8,16,Overpass
Team1,Nexus,Illuminar,16,11,Inferno
Team1,Nexus,Illuminar,16,11,Train
Team1,Nexus,LF Org,19,16,Mirage
Team1,Nexus,RedFear.wild,16,1,Mirage
Team1,Nexus,RedFear.wild,16,11,Train
Team1,Nexus,SKADE,16,8,Mirage
Team1,Nexus,Salamander,16,6,Mirage
Team1,Nexus,Syman,11,16,Inferno
Team1,Nexus,Syman,22,20,Vertigo
Team1,Nexus,Syman,9,16,Overpass
Team1,Nexus,Unicorns of Love,16,14,Cache
Team2,Nexus,Finest,16,19,Train
Team2,Nexus,GamePub,16,4,Cache
Team2,Nexus,HAVU,14,16,Mirage
Team2,Nexus,LF Org,13,16,Train
Team2,Nexus,LF Org,16,5,Dust2
Team2,Nexus,SKADE,13,16,Overpass
Team2,Nexus,Salamander,16,19,Nuke
