Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,OpTic,ALTERNATE aTTaX,16,13,Train
Team1,OpTic,ALTERNATE aTTaX,16,6,Mirage
Team1,OpTic,AVANGAR,10,16,Inferno
Team1,OpTic,AVANGAR,16,11,Train
Team1,OpTic,AVANGAR,16,14,Dust2
Team1,OpTic,Ancient,16,10,Mirage
Team1,OpTic,Ancient,16,12,Overpass
Team1,OpTic,Ancient,16,14,Nuke
Team1,OpTic,Aristocracy,11,16,Nuke
Team1,OpTic,Chaos,16,12,Mirage
Team1,OpTic,DreamEaters,6,16,Overpass
Team1,OpTic,G2,5,16,Dust2
Team1,OpTic,G2,6,16,Inferno
Team1,OpTic,Gambit,16,11,Mirage
Team1,OpTic,Gambit,16,14,Dust2
Team1,OpTic,GamerLegion,16,10,Nuke
Team1,OpTic,GamerLegion,16,12,Dust2
Team1,OpTic,GamerLegion,22,18,Overpass
Team1,OpTic,Movistar Riders,16,5,Train
Team1,OpTic,NASR,16,10,Overpass
Team1,OpTic,NASR,16,12,Mirage
Team1,OpTic,Natus Vincere,12,16,Nuke
Team1,OpTic,Natus Vincere,8,16,Dust2
Team1,OpTic,North,16,11,Nuke
Team1,OpTic,Sprout,16,11,Nuke
Team1,OpTic,Sprout,16,13,Nuke
Team1,OpTic,Tricked,16,11,Mirage
Team1,OpTic,Tricked,7,16,Train
Team1,OpTic,Valiance,12,16,Nuke
Team1,OpTic,Valiance,16,12,Mirage
Team1,OpTic,Vitality,16,7,Overpass
Team1,OpTic,Vitality,7,16,Nuke
Team1,OpTic,Vitality,8,16,Dust2
Team1,OpTic,Vitality,9,16,Overpass
Team1,OpTic,Winstrike,16,12,Vertigo
Team1,OpTic,Winstrike,16,13,Train
Team1,OpTic,ex-Epsilon,11,16,Inferno
Team1,OpTic,ex-Space Soldiers,16,10,Overpass
Team1,OpTic,fnatic,11,16,Overpass
Team1,OpTic,fnatic,16,13,Inferno
Team1,OpTic,fnatic,16,19,Nuke
Team1,OpTic,forZe,4,16,Inferno
Team1,OpTic,forZe,9,16,Mirage
Team1,OpTic,mousesports,11,16,Nuke
Team1,OpTic,mousesports,11,16,Train
Team1,OpTic,mousesports,13,16,Nuke
Team1,OpTic,mousesports,7,16,Train
Team1,OpTic,mousesports,8,16,Nuke
Team1,OpTic,passions,16,13,Mirage
Team1,OpTic,pro100,16,12,Dust2
Team2,OpTic,AVANGAR,11,16,Overpass
Team2,OpTic,Aristocracy,20,22,Mirage
Team2,OpTic,DreamEaters,12,16,Dust2
Team2,OpTic,GamerLegion,10,16,Vertigo
Team2,OpTic,GamerLegion,16,5,Train
Team2,OpTic,HellRaisers,16,7,Inferno
Team2,OpTic,Liquid,16,9,Overpass
Team2,OpTic,Movistar Riders,16,8,Nuke
Team2,OpTic,NoChance,16,5,Mirage
Team2,OpTic,Sprout,10,16,Mirage
Team2,OpTic,Sprout,12,16,Mirage
Team2,OpTic,Tricked,16,9,Dust2
Team2,OpTic,Vitality,11,16,Inferno
Team2,OpTic,WeOnlySnusSiber1a,13,16,Overpass
Team2,OpTic,ex-Epsilon,16,2,Nuke
Team2,OpTic,ex-Space Soldiers,16,6,Mirage
Team2,OpTic,fnatic,14,16,Mirage
Team2,OpTic,forZe,13,16,Mirage
Team2,OpTic,mousesports,10,16,Mirage
Team2,OpTic,mousesports,14,16,Train
Team2,OpTic,mousesports,15,19,Vertigo
Team2,OpTic,mousesports,16,8,Mirage
