Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Ascent,Bad News Bears,16,12,Inferno
Team1,Ascent,Ben's Anime Team,14,16,Overpass
Team1,Ascent,Chris and the boys,16,14,Inferno
Team1,Ascent,FURIA,6,16,Nuke
Team1,Ascent,Monstars,16,10,Inferno
Team1,Ascent,Peeker's Advantage,16,14,Inferno
Team1,Ascent,RBG,19,15,Mirage
Team1,Ascent,RBG,5,16,Inferno
Team1,Ascent,RBG,9,16,Nuke
Team1,Ascent,Riot Squad,4,16,Mirage
Team1,Ascent,Rugratz,16,13,Dust2
Team1,Ascent,Rugratz,2,16,Overpass
Team2,Ascent,ATK,17,19,Inferno
Team2,Ascent,Bushido Boyz,14,16,Nuke
Team2,Ascent,Just Swing,16,8,Mirage
Team2,Ascent,LiViD,16,3,Nuke
Team2,Ascent,Mythic,16,8,Inferno
Team2,Ascent,New Identity,10,16,Mirage
Team2,Ascent,Rap Gang,16,7,Dust2
Team2,Ascent,Riot Squad,10,16,Nuke
Team2,Ascent,TeamOne,10,16,Inferno
Team2,Ascent,Variance,23,25,Train
