Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,ATK,BLITZKRIEG,16,13,Dust2
Team1,ATK,Chiefs,13,16,Overpass
Team1,ATK,Chris and the boys,16,8,Inferno
Team1,ATK,Complexity,13,16,Dust2
Team1,ATK,Complexity,8,16,Inferno
Team1,ATK,DETONA,16,12,Inferno
Team1,ATK,Envy,16,10,Inferno
Team1,ATK,Envy,16,11,Train
Team1,ATK,Envy,6,16,Dust2
Team1,ATK,Envy,7,16,Inferno
Team1,ATK,Envy,8,16,Dust2
Team1,ATK,Envy,9,16,Vertigo
Team1,ATK,Finest,19,16,Dust2
Team1,ATK,Finest,4,16,Inferno
Team1,ATK,G2,16,13,Train
Team1,ATK,G2,16,6,Inferno
Team1,ATK,G2,4,16,Vertigo
Team1,ATK,INTZ,16,10,Overpass
Team1,ATK,INTZ,16,11,Mirage
Team1,ATK,INTZ,16,14,Overpass
Team1,ATK,INTZ,5,16,Cache
Team1,ATK,Monstars,16,11,Dust2
Team1,ATK,Mythic,16,10,Mirage
Team1,ATK,NASR,16,10,Inferno
Team1,ATK,NASR,4,16,Train
Team1,ATK,New Identity,16,12,Dust2
Team1,ATK,North,16,8,Vertigo
Team1,ATK,Party Astronauts,16,14,Vertigo
Team1,ATK,Peeker's Advantage,12,16,Mirage
Team1,ATK,Peeker's Advantage,16,10,Dust2
Team1,ATK,Peeker's Advantage,16,14,Dust2
Team1,ATK,Peeker's Advantage,19,15,Inferno
Team1,ATK,Polar Ace,16,12,Train
Team1,ATK,Renegades,6,16,Train
Team1,ATK,Renegades,7,16,Dust2
Team1,ATK,Riot Squad,14,16,Inferno
Team1,ATK,Riot Squad,16,13,Dust2
Team1,ATK,Riot Squad,16,14,Inferno
Team1,ATK,Riot Squad,7,16,Overpass
Team1,ATK,Rugratz,16,12,Inferno
Team1,ATK,Singularity,11,16,Dust2
Team1,ATK,Singularity,16,10,Train
Team1,ATK,Singularity,16,11,Overpass
Team1,ATK,Singularity,16,14,Mirage
Team1,ATK,Singularity,16,7,Nuke
Team1,ATK,Singularity,4,16,Inferno
Team1,ATK,Singularity,7,16,Train
Team1,ATK,Sprout,7,16,Mirage
Team1,ATK,Swole Patrol,19,17,Dust2
Team1,ATK,TeamOne,16,13,Inferno
Team1,ATK,The Quest,18,22,Overpass
Team1,ATK,The Quest,19,16,Dust2
Team1,ATK,The Quest,7,16,Inferno
Team1,ATK,Tiny Meat Gang,16,11,Inferno
Team1,ATK,Yalla,9,16,Overpass
Team1,ATK,Zone,16,7,Train
Team1,ATK,Zone,8,16,Nuke
Team1,ATK,mousesports,9,16,Nuke
Team2,ATK,Chris and the boys,16,2,Overpass
Team2,ATK,Chris and the boys,16,5,Dust2
Team2,ATK,Complexity,13,16,Vertigo
Team2,ATK,Envy,13,16,Train
Team2,ATK,Envy,14,16,Dust2
Team2,ATK,FURIA,13,16,Vertigo
Team2,ATK,Final Feature,16,2,Dust2
Team2,ATK,Ghost,11,16,Inferno
Team2,ATK,Good Game PR,16,4,Train
Team2,ATK,INTZ,13,16,Train
Team2,ATK,LiViD,16,6,Inferno
Team2,ATK,Liquid,11,16,Overpass
Team2,ATK,Luminosity,21,25,Overpass
Team2,ATK,MIBR,16,8,Vertigo
Team2,ATK,Monstars,16,5,Mirage
Team2,ATK,Mythic,16,4,Overpass
Team2,ATK,North,16,9,Overpass
Team2,ATK,Party Astronauts,11,16,Overpass
Team2,ATK,Party Astronauts,16,4,Overpass
Team2,ATK,Party Astronauts,16,5,Dust2
Team2,ATK,Party Astronauts,16,5,Inferno
Team2,ATK,Riot Squad,10,16,Nuke
Team2,ATK,Riot Squad,15,19,Mirage
Team2,ATK,Rugratz,12,16,Dust2
Team2,ATK,Rugratz,16,9,Overpass
Team2,ATK,Sharks,10,16,Vertigo
Team2,ATK,Singularity,10,16,Inferno
Team2,ATK,Singularity,10,16,Overpass
Team2,ATK,Singularity,10,16,Vertigo
Team2,ATK,Singularity,15,19,Vertigo
Team2,ATK,Singularity,16,5,Mirage
Team2,ATK,Singularity,16,7,Overpass
Team2,ATK,TeamOne,12,16,Overpass
Team2,ATK,TeamOne,16,8,Dust2
Team2,ATK,Tiny Meat Gang,16,8,Overpass
Team2,ATK,Variance,16,8,Overpass
Team2,ATK,Yalla,16,6,Inferno
