Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,hREDS,Cosa Nostra,19,17,Inferno
Team1,hREDS,HAVU,4,16,Dust2
Team1,hREDS,KOVA,12,16,Dust2
Team1,hREDS,KOVA,16,11,Mirage
Team1,hREDS,KOVA,7,16,Dust2
Team1,hREDS,KOVA,9,16,Inferno
Team1,hREDS,KOVA,9,16,Nuke
Team1,hREDS,LDLC,16,11,Nuke
Team1,hREDS,LDLC,16,14,Overpass
Team1,hREDS,Nemiga,17,19,Mirage
Team1,hREDS,PACT,11,16,Nuke
Team1,hREDS,PACT,6,16,Inferno
Team1,hREDS,SJ,14,16,Dust2
Team1,hREDS,SJ,6,16,Nuke
Team2,hREDS,Apeks,14,16,Mirage
Team2,hREDS,HAVU,14,16,Overpass
Team2,hREDS,Nemiga,14,16,Dust2
Team2,hREDS,SJ,13,16,Nuke
