Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,ViCi,5POWER,16,10,Dust2
Team1,ViCi,5POWER,16,13,Inferno
Team1,ViCi,5POWER,16,5,Nuke
Team1,ViCi,5POWER,16,8,Nuke
Team1,ViCi,5POWER,16,9,Nuke
Team1,ViCi,5POWER,22,25,Inferno
Team1,ViCi,5POWER,9,16,Dust2
Team1,ViCi,8EASY,16,11,Overpass
Team1,ViCi,8EASY,16,8,Train
Team1,ViCi,8EASY,5,16,Overpass
Team1,ViCi,AUGUST,16,10,Inferno
Team1,ViCi,Absolute,16,5,Overpass
Team1,ViCi,Aster,16,7,Train
Team1,ViCi,BOOT,16,10,Inferno
Team1,ViCi,BOOT,16,10,Nuke
Team1,ViCi,BOOT,16,5,Mirage
Team1,ViCi,BOOT,7,16,Nuke
Team1,ViCi,BTRG,16,5,Nuke
Team1,ViCi,BTRG.IMBA,16,13,Cache
Team1,ViCi,BTRG.IMBA,16,7,Inferno
Team1,ViCi,Beyond,16,10,Overpass
Team1,ViCi,Beyond,16,8,Inferno
Team1,ViCi,Bren,7,16,Inferno
Team1,ViCi,Chiefs,16,5,Inferno
Team1,ViCi,Demise,16,11,Overpass
Team1,ViCi,Demise,16,12,Vertigo
Team1,ViCi,EHOME,16,14,Nuke
Team1,ViCi,EHOME,16,6,Train
Team1,ViCi,EHOME,22,19,Mirage
Team1,ViCi,EHOME,28,24,Overpass
Team1,ViCi,EHOME,5,16,Overpass
Team1,ViCi,ENCE,6,16,Inferno
Team1,ViCi,ENCE,6,16,Train
Team1,ViCi,ENCE,7,16,Mirage
Team1,ViCi,FaZe,3,16,Overpass
Team1,ViCi,GOSU,16,13,Mirage
Team1,ViCi,GOSU,19,17,Train
Team1,ViCi,Global,16,6,Inferno
Team1,ViCi,Grayhound,6,16,Mirage
Team1,ViCi,IPET,16,5,Mirage
Team1,ViCi,Invictus,14,16,Nuke
Team1,ViCi,Invictus,16,13,Nuke
Team1,ViCi,Invictus,16,9,Nuke
Team1,ViCi,Lucid Dream,16,13,Vertigo
Team1,ViCi,Lynn Vision,16,10,Vertigo
Team1,ViCi,MVP PK,14,16,Overpass
Team1,ViCi,MVP PK,16,12,Mirage
Team1,ViCi,MVP PK,16,8,Train
Team1,ViCi,Maple,16,4,Mirage
Team1,ViCi,NASR,19,16,Overpass
Team1,ViCi,NRG,6,16,Overpass
Team1,ViCi,Natus Vincere,6,16,Train
Team1,ViCi,NiP,16,13,Inferno
Team1,ViCi,NiP,7,16,Train
Team1,ViCi,North,16,12,Dust2
Team1,ViCi,North,22,20,Inferno
Team1,ViCi,OneThree,16,12,Overpass
Team1,ViCi,Panda,16,10,Overpass
Team1,ViCi,Renegades,16,11,Mirage
Team1,ViCi,Renegades,5,16,Inferno
Team1,ViCi,Rstar,16,1,Mirage
Team1,ViCi,Rstar,16,1,Nuke
Team1,ViCi,TYLOO,12,16,Train
Team1,ViCi,TYLOO,16,11,Inferno
Team1,ViCi,TYLOO,16,12,Dust2
Team1,ViCi,TYLOO,16,13,Overpass
Team1,ViCi,TYLOO,16,14,Mirage
Team1,ViCi,TYLOO,16,14,Train
Team1,ViCi,TYLOO,19,17,Vertigo
Team1,ViCi,TYLOO,2,16,Mirage
Team1,ViCi,TYLOO,3,16,Mirage
Team1,ViCi,TYLOO,4,16,Inferno
Team1,ViCi,TYLOO,4,16,Vertigo
Team1,ViCi,TYLOO,9,16,Train
Team1,ViCi,Very1z,16,11,Overpass
Team1,ViCi,Very1z,16,7,Nuke
Team1,ViCi,rTE,19,15,Train
Team2,ViCi,4Bowie,16,5,Inferno
Team2,ViCi,5POWER,13,16,Mirage
Team2,ViCi,8EASY,16,9,Inferno
Team2,ViCi,Absolute,16,8,Inferno
Team2,ViCi,Alpha Red,16,3,Overpass
Team2,ViCi,Aster,16,5,Inferno
Team2,ViCi,BTRG,16,5,Mirage
Team2,ViCi,Beyond,16,7,Mirage
Team2,ViCi,Beyond,16,8,Overpass
Team2,ViCi,Beyond,16,8,Train
Team2,ViCi,Chiefs,14,16,Dust2
Team2,ViCi,Cloud9,16,6,Inferno
Team2,ViCi,EHOME,13,16,Dust2
Team2,ViCi,EHOME,17,19,Inferno
Team2,ViCi,FaZe,10,16,Dust2
Team2,ViCi,Gambit Youngsters,11,16,Overpass
Team2,ViCi,Global,16,8,Train
Team2,ViCi,Grayhound,16,6,Overpass
Team2,ViCi,IPET,16,5,Nuke
Team2,ViCi,Invictus,12,16,Train
Team2,ViCi,Invictus,13,16,Train
Team2,ViCi,Lynn Vision,12,16,Inferno
Team2,ViCi,Lynn Vision,13,16,Vertigo
Team2,ViCi,Lynn Vision,16,4,Nuke
Team2,ViCi,Lynn Vision,16,6,Nuke
Team2,ViCi,MVP PK,11,16,Inferno
Team2,ViCi,MVP PK,16,9,Mirage
Team2,ViCi,Maple,16,3,Inferno
Team2,ViCi,Natus Vincere,16,3,Inferno
Team2,ViCi,North,16,8,Inferno
Team2,ViCi,TYLOO,10,16,Mirage
Team2,ViCi,TYLOO,12,16,Inferno
Team2,ViCi,Vega Squadron,16,19,Inferno
Team2,ViCi,Vitality,12,16,Nuke
Team2,ViCi,Vitality,22,25,Inferno
Team2,ViCi,Winstrike,14,16,Overpass
Team2,ViCi,fnatic,16,9,Overpass
Team2,ViCi,rTE,16,2,Overpass
