Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Nordavind,AGF,16,1,Nuke
Team1,Nordavind,AGF,16,4,Inferno
Team1,Nordavind,AGO,16,14,Mirage
Team1,Nordavind,AGO,6,16,Inferno
Team1,Nordavind,AGO,8,16,Dust2
Team1,Nordavind,AGO,9,16,Mirage
Team1,Nordavind,AVANGAR,6,16,Mirage
Team1,Nordavind,Ancient,16,10,Inferno
Team1,Nordavind,Apeks,16,10,Nuke
Team1,Nordavind,Apeks,16,19,Overpass
Team1,Nordavind,Apeks,5,16,Overpass
Team1,Nordavind,BIG,9,16,Inferno
Team1,Nordavind,Chaos,16,5,Mirage
Team1,Nordavind,Chaos,7,16,Overpass
Team1,Nordavind,Copenhagen Flames,16,12,Overpass
Team1,Nordavind,Copenhagen Flames,6,16,Train
Team1,Nordavind,Dignitas,16,12,Dust2
Team1,Nordavind,Dignitas,8,16,Inferno
Team1,Nordavind,Epsilon,16,10,Mirage
Team1,Nordavind,Espada,16,11,Overpass
Team1,Nordavind,Espada,19,17,Dust2
Team1,Nordavind,FATE,16,12,Dust2
Team1,Nordavind,FATE,16,9,Inferno
Team1,Nordavind,Fierce,6,16,Overpass
Team1,Nordavind,Fierce,7,16,Inferno
Team1,Nordavind,Fierce,9,16,Mirage
Team1,Nordavind,Gambit Youngsters,16,14,Overpass
Team1,Nordavind,GamerLegion,16,14,Nuke
Team1,Nordavind,GamerLegion,9,16,Vertigo
Team1,Nordavind,Giants,16,14,Inferno
Team1,Nordavind,HAVU,19,16,Dust2
Team1,Nordavind,HAVU,19,16,Overpass
Team1,Nordavind,HAVU,8,16,Dust2
Team1,Nordavind,Heretics,13,16,Inferno
Team1,Nordavind,Heretics,16,11,Mirage
Team1,Nordavind,Heretics,4,16,Dust2
Team1,Nordavind,Heretics,6,16,Vertigo
Team1,Nordavind,Heroic,13,16,Nuke
Team1,Nordavind,Ignite,16,13,Inferno
Team1,Nordavind,Illuminar,9,16,Nuke
Team1,Nordavind,Izako Boars,16,14,Overpass
Team1,Nordavind,Japaleno,6,16,Dust2
Team1,Nordavind,KOVA,6,16,Nuke
Team1,Nordavind,LDLC,16,9,Overpass
Team1,Nordavind,Movistar Riders,16,12,Mirage
Team1,Nordavind,Movistar Riders,16,12,Overpass
Team1,Nordavind,Movistar Riders,16,13,Overpass
Team1,Nordavind,Nemiga,16,11,Inferno
Team1,Nordavind,Nemiga,16,12,Inferno
Team1,Nordavind,Nemiga,16,9,Overpass
Team1,Nordavind,NoChance,16,10,Vertigo
Team1,Nordavind,NoChance,16,14,Inferno
Team1,Nordavind,Riddle,16,4,Inferno
Team1,Nordavind,SJ,12,16,Overpass
Team1,Nordavind,SJ,16,10,Mirage
Team1,Nordavind,SJ,16,12,Vertigo
Team1,Nordavind,SJ,16,13,Nuke
Team1,Nordavind,SJ,19,17,Nuke
Team1,Nordavind,SJ,7,16,Train
Team1,Nordavind,SJ,8,16,Inferno
Team1,Nordavind,Sprout,16,14,Dust2
Team1,Nordavind,Sprout,3,16,Overpass
Team1,Nordavind,Sprout,5,16,Overpass
Team1,Nordavind,Sprout,8,16,Dust2
Team1,Nordavind,Sprout,9,16,Dust2
Team1,Nordavind,Syman,10,16,Dust2
Team1,Nordavind,Tricked,16,12,Mirage
Team1,Nordavind,Turkey5,16,11,Dust2
Team1,Nordavind,Turkey5,16,5,Mirage
Team1,Nordavind,Unicorns of Love,16,3,Inferno
Team1,Nordavind,Unicorns of Love,16,6,Inferno
Team1,Nordavind,Vega Squadron,16,11,Mirage
Team1,Nordavind,Vega Squadron,16,14,Overpass
Team1,Nordavind,Virtus.pro,16,11,Vertigo
Team1,Nordavind,Virtus.pro,16,14,Overpass
Team1,Nordavind,Windigo,14,16,Mirage
Team1,Nordavind,Windigo,16,14,Overpass
Team1,Nordavind,Winstrike,10,16,Overpass
Team1,Nordavind,Winstrike,16,11,Dust2
Team1,Nordavind,Winstrike,19,17,Mirage
Team1,Nordavind,cats,16,9,Overpass
Team1,Nordavind,cats,19,16,Mirage
Team1,Nordavind,forZe,16,12,Nuke
Team1,Nordavind,forZe,16,8,Dust2
Team1,Nordavind,pro100,19,16,Inferno
Team1,Nordavind,pro100,7,16,Dust2
Team2,Nordavind,AGO,15,19,Dust2
Team2,Nordavind,AGO,16,6,Nuke
Team2,Nordavind,AGO,16,7,Mirage
Team2,Nordavind,AGO,16,8,Overpass
Team2,Nordavind,AGO,21,25,Inferno
Team2,Nordavind,Ancient,13,16,Dust2
Team2,Nordavind,Ancient,13,16,Nuke
Team2,Nordavind,Ancient,16,7,Inferno
Team2,Nordavind,Apeks,10,16,Dust2
Team2,Nordavind,Apeks,16,5,Inferno
Team2,Nordavind,CR4ZY,11,16,Vertigo
Team2,Nordavind,CR4ZY,13,16,Dust2
Team2,Nordavind,Chaos,16,8,Inferno
Team2,Nordavind,Demolition Crew,16,9,Mirage
Team2,Nordavind,Dignitas,13,16,Nuke
Team2,Nordavind,DreamEaters,16,3,Inferno
Team2,Nordavind,FATE,16,2,Inferno
Team2,Nordavind,GamerLegion,16,9,Mirage
Team2,Nordavind,HAVU,10,16,Nuke
Team2,Nordavind,HellRaisers,14,16,Mirage
Team2,Nordavind,Heretics,14,16,Inferno
Team2,Nordavind,Heretics,16,6,Vertigo
Team2,Nordavind,Heretics,16,7,Overpass
Team2,Nordavind,Heretics,16,8,Mirage
Team2,Nordavind,Heroic,14,16,Inferno
Team2,Nordavind,Ignite,16,6,Overpass
Team2,Nordavind,Illuminar,13,16,Overpass
Team2,Nordavind,Izako Boars,16,19,Mirage
Team2,Nordavind,Izako Boars,16,2,Mirage
Team2,Nordavind,Japaleno,10,16,Overpass
Team2,Nordavind,Japaleno,10,16,Overpass
Team2,Nordavind,Japaleno,10,16,Overpass
Team2,Nordavind,Japaleno,10,16,Overpass
Team2,Nordavind,Japaleno,10,16,Overpass
Team2,Nordavind,Japaleno,10,16,Overpass
Team2,Nordavind,Japaleno,10,16,Overpass
Team2,Nordavind,Japaleno,10,16,Overpass
Team2,Nordavind,Japaleno,10,16,Overpass
Team2,Nordavind,Japaleno,10,16,Overpass
Team2,Nordavind,Japaleno,10,16,Overpass
Team2,Nordavind,Japaleno,10,16,Overpass
Team2,Nordavind,LDLC,16,9,Dust2
Team2,Nordavind,Lyngby Vikings,16,4,Dust2
Team2,Nordavind,Movistar Riders,13,16,Nuke
Team2,Nordavind,Movistar Riders,16,9,Vertigo
Team2,Nordavind,PACT,11,16,Vertigo
Team2,Nordavind,PACT,16,2,Overpass
Team2,Nordavind,PACT,16,8,Nuke
Team2,Nordavind,PACT,16,9,Overpass
Team2,Nordavind,SJ,14,16,Nuke
Team2,Nordavind,SJ,16,4,Overpass
Team2,Nordavind,Salamander,17,19,Inferno
Team2,Nordavind,Sprout,16,5,Mirage
Team2,Nordavind,Sprout,16,7,Nuke
Team2,Nordavind,Stabæk Momentum,16,7,Dust2
Team2,Nordavind,Stabæk Momentum,16,8,Overpass
Team2,Nordavind,Syman,11,16,Inferno
Team2,Nordavind,Syman,16,6,Vertigo
Team2,Nordavind,Turkey5,13,16,Inferno
Team2,Nordavind,Unicorns of Love,16,4,Nuke
Team2,Nordavind,Unicorns of Love,16,8,Vertigo
Team2,Nordavind,Virtus.pro,12,16,Mirage
Team2,Nordavind,Virtus.pro,12,16,Vertigo
Team2,Nordavind,Virtus.pro,14,16,Mirage
Team2,Nordavind,Winstrike,20,22,Nuke
Team2,Nordavind,pro100,16,8,Overpass
