Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Asuna's Anime Aimers,Kinship,16,11,Inferno
Team1,Asuna's Anime Aimers,Swole Identity,8,16,Inferno
Team1,Asuna's Anime Aimers,Yeah,16,11,Mirage
Team1,Asuna's Anime Aimers,Yeah,5,16,Train
Team1,Asuna's Anime Aimers,Ze Pug Godz,16,13,Dust2
Team1,Asuna's Anime Aimers,Ze Pug Godz,16,9,Train
Team1,Asuna's Anime Aimers,call it luck,9,16,Mirage
Team2,Asuna's Anime Aimers,Big Frames,10,16,Dust2
Team2,Asuna's Anime Aimers,Envy,12,16,Mirage
Team2,Asuna's Anime Aimers,New England Whalers,12,16,Nuke
Team2,Asuna's Anime Aimers,Prospects,12,16,Train
Team2,Asuna's Anime Aimers,The Home of the Grave,16,5,Nuke
Team2,Asuna's Anime Aimers,Yeah,13,16,Dust2
Team2,Asuna's Anime Aimers,call it luck,17,19,Dust2
