Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,MIBR,AGO,16,12,Train
Team1,MIBR,ATK,11,16,Dust2
Team1,MIBR,ATK,22,19,Mirage
Team1,MIBR,AVANGAR,16,12,Train
Team1,MIBR,AVANGAR,9,16,Mirage
Team1,MIBR,BIG,16,7,Overpass
Team1,MIBR,Bad News Bears,16,12,Inferno
Team1,MIBR,Chaos,16,8,Dust2
Team1,MIBR,Chaos,16,8,Inferno
Team1,MIBR,Cloud9,12,16,Inferno
Team1,MIBR,Cloud9,16,1,Train
Team1,MIBR,Cloud9,16,10,Nuke
Team1,MIBR,Complexity,16,1,Overpass
Team1,MIBR,Complexity,16,9,Vertigo
Team1,MIBR,Complexity,28,25,Inferno
Team1,MIBR,Complexity,4,16,Train
Team1,MIBR,ENCE,15,19,Train
Team1,MIBR,ENCE,7,16,Dust2
Team1,MIBR,ENCE,8,16,Inferno
Team1,MIBR,Envy,16,12,Mirage
Team1,MIBR,Envy,16,13,Dust2
Team1,MIBR,Envy,16,14,Cache
Team1,MIBR,Envy,16,4,Train
Team1,MIBR,Envy,16,9,Mirage
Team1,MIBR,Envy,18,22,Train
Team1,MIBR,Evil Geniuses,16,10,Inferno
Team1,MIBR,Evil Geniuses,16,13,Vertigo
Team1,MIBR,Evil Geniuses,16,14,Vertigo
Team1,MIBR,Evil Geniuses,8,16,Inferno
Team1,MIBR,FURIA,12,16,Train
Team1,MIBR,FURIA,16,11,Train
Team1,MIBR,FURIA,5,16,Overpass
Team1,MIBR,FURIA,8,16,Mirage
Team1,MIBR,G2,16,11,Vertigo
Team1,MIBR,G2,16,12,Inferno
Team1,MIBR,G2,16,6,Train
Team1,MIBR,G2,4,16,Inferno
Team1,MIBR,G2,6,16,Overpass
Team1,MIBR,G2,9,16,Dust2
Team1,MIBR,GAMERZONE,16,11,Train
Team1,MIBR,Gen.G,16,11,Inferno
Team1,MIBR,Gen.G,16,13,Mirage
Team1,MIBR,Gen.G,16,13,Vertigo
Team1,MIBR,Gen.G,19,15,Mirage
Team1,MIBR,Gen.G,8,16,Dust2
Team1,MIBR,Grayhound,16,11,Overpass
Team1,MIBR,INTZ,8,16,Train
Team1,MIBR,Imperial,16,13,Train
Team1,MIBR,Liquid,2,16,Dust2
Team1,MIBR,Liquid,9,16,Dust2
Team1,MIBR,Luminosity,7,16,Inferno
Team1,MIBR,Luminosity,8,16,Train
Team1,MIBR,MAD Lions,13,16,Inferno
Team1,MIBR,MAD Lions,16,13,Mirage
Team1,MIBR,MAD Lions,16,5,Dust2
Team1,MIBR,NRG,11,16,Overpass
Team1,MIBR,NRG,4,16,Nuke
Team1,MIBR,NRG,5,16,Inferno
Team1,MIBR,NRG,7,16,Mirage
Team1,MIBR,Natus Vincere,16,12,Train
Team1,MIBR,Natus Vincere,8,16,Nuke
Team1,MIBR,NiP,16,12,Dust2
Team1,MIBR,NiP,16,14,Inferno
Team1,MIBR,NiP,16,6,Dust2
Team1,MIBR,NiP,22,20,Inferno
Team1,MIBR,North,16,13,Overpass
Team1,MIBR,North,16,14,Overpass
Team1,MIBR,OG,7,16,Mirage
Team1,MIBR,Orgless,16,10,Overpass
Team1,MIBR,Orgless,17,19,Overpass
Team1,MIBR,Orgless,19,17,Inferno
Team1,MIBR,Renegades,12,16,Dust2
Team1,MIBR,Renegades,16,12,Train
Team1,MIBR,Renegades,16,14,Train
Team1,MIBR,Renegades,19,16,Inferno
Team1,MIBR,Renegades,5,16,Mirage
Team1,MIBR,Renegades,6,16,Inferno
Team1,MIBR,Riot Squad,13,16,Mirage
Team1,MIBR,Riot Squad,16,12,Inferno
Team1,MIBR,Singularity,16,10,Inferno
Team1,MIBR,Singularity,16,10,Mirage
Team1,MIBR,Swole Patrol,16,12,Vertigo
Team1,MIBR,Swole Patrol,16,5,Inferno
Team1,MIBR,TYLOO,12,16,Train
Team1,MIBR,The Quest,16,8,Overpass
Team1,MIBR,Tricked,13,16,Dust2
Team1,MIBR,Viva Algeria,16,1,Dust2
Team1,MIBR,Yeah,22,18,Mirage
Team1,MIBR,eUnited,16,11,Train
Team1,MIBR,eUnited,5,16,Nuke
Team1,MIBR,ex-Luminosity,16,10,Dust2
Team1,MIBR,ex-Luminosity,16,5,Vertigo
Team1,MIBR,fnatic,10,16,Mirage
Team1,MIBR,fnatic,16,9,Overpass
Team1,MIBR,fnatic,19,16,Dust2
Team1,MIBR,mousesports,16,10,Overpass
Team1,MIBR,mousesports,22,19,Mirage
Team2,MIBR,AGO,16,5,Nuke
Team2,MIBR,ATK,16,8,Inferno
Team2,MIBR,ATK,16,9,Overpass
Team2,MIBR,Astralis,16,2,Overpass
Team2,MIBR,BIG,11,16,Dust2
Team2,MIBR,Bad News Bears,16,7,Dust2
Team2,MIBR,Chaos,16,5,Mirage
Team2,MIBR,Cloud9,15,15,Mirage
Team2,MIBR,Cloud9,16,7,Overpass
Team2,MIBR,Cloud9,16,9,Overpass
Team2,MIBR,Complexity,11,16,Dust2
Team2,MIBR,Complexity,16,7,Mirage
Team2,MIBR,Complexity,16,9,Mirage
Team2,MIBR,ENCE,10,16,Overpass
Team2,MIBR,ENCE,15,15,Mirage
Team2,MIBR,ENCE,16,8,Nuke
Team2,MIBR,Envy,11,16,Inferno
Team2,MIBR,Envy,16,3,Mirage
Team2,MIBR,Envy,16,5,Inferno
Team2,MIBR,Envy,16,6,Overpass
Team2,MIBR,Evil Geniuses,13,16,Dust2
Team2,MIBR,FURIA,11,16,Vertigo
Team2,MIBR,FaZe,11,16,Nuke
Team2,MIBR,FaZe,15,15,Mirage
Team2,MIBR,GAMERZONE,12,16,Inferno
Team2,MIBR,Gen.G,16,7,Dust2
Team2,MIBR,HAVU,16,3,Train
Team2,MIBR,INTZ,16,4,Mirage
Team2,MIBR,Imperial,16,4,Inferno
Team2,MIBR,Liquid,10,16,Overpass
Team2,MIBR,Liquid,11,16,Mirage
Team2,MIBR,Liquid,12,16,Dust2
Team2,MIBR,Liquid,13,16,Inferno
Team2,MIBR,Liquid,13,16,Mirage
Team2,MIBR,NiP,13,16,Train
Team2,MIBR,NiP,15,15,Train
Team2,MIBR,NiP,16,6,Train
Team2,MIBR,North,16,9,Mirage
Team2,MIBR,North,23,25,Inferno
Team2,MIBR,Orgless,16,8,Inferno
Team2,MIBR,Renegades,16,2,Mirage
Team2,MIBR,Renegades,16,5,Train
Team2,MIBR,Renegades,16,6,Dust2
Team2,MIBR,TYLOO,12,16,Mirage
Team2,MIBR,Tricked,14,16,Overpass
Team2,MIBR,Virtus.pro,16,3,Inferno
Team2,MIBR,Viva Algeria,16,5,Train
Team2,MIBR,Yeah,16,5,Dust2
Team2,MIBR,eUnited,11,16,Overpass
Team2,MIBR,eUnited,16,6,Mirage
Team2,MIBR,fnatic,10,16,Inferno
Team2,MIBR,fnatic,10,16,Inferno
Team2,MIBR,fnatic,16,4,Nuke
