Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,CR4ZY,AVANGAR,16,10,Inferno
Team1,CR4ZY,AVANGAR,16,14,Dust2
Team1,CR4ZY,Ancient,10,16,Nuke
Team1,CR4ZY,Astralis,31,29,Dust2
Team1,CR4ZY,Astralis,5,16,Vertigo
Team1,CR4ZY,BIG Academy,16,1,Nuke
Team1,CR4ZY,Chaos,16,12,Dust2
Team1,CR4ZY,Chaos,16,13,Mirage
Team1,CR4ZY,Chaos,19,16,Train
Team1,CR4ZY,Defusekids,13,16,Inferno
Team1,CR4ZY,Defusekids,16,14,Train
Team1,CR4ZY,Demise,16,12,Inferno
Team1,CR4ZY,DreamEaters,16,11,Dust2
Team1,CR4ZY,GODSENT,16,3,Train
Team1,CR4ZY,GODSENT,6,16,Vertigo
Team1,CR4ZY,GODSENT,7,16,Dust2
Team1,CR4ZY,GamerLegion,16,5,Vertigo
Team1,CR4ZY,HAVU,16,12,Dust2
Team1,CR4ZY,HAVU,5,16,Dust2
Team1,CR4ZY,HAVU,9,16,Train
Team1,CR4ZY,Heroic,16,11,Mirage
Team1,CR4ZY,Heroic,16,12,Dust2
Team1,CR4ZY,Heroic,16,5,Mirage
Team1,CR4ZY,Heroic,3,16,Nuke
Team1,CR4ZY,Heroic,3,16,Vertigo
Team1,CR4ZY,INTZ,16,12,Train
Team1,CR4ZY,Liquid,9,16,Mirage
Team1,CR4ZY,Natus Vincere,4,16,Nuke
Team1,CR4ZY,Nemiga,16,14,Mirage
Team1,CR4ZY,NoChance,16,10,Nuke
Team1,CR4ZY,North,15,19,Train
Team1,CR4ZY,North,16,11,Train
Team1,CR4ZY,North,9,16,Train
Team1,CR4ZY,SJ,16,7,Mirage
Team1,CR4ZY,SKADE,16,8,Train
Team1,CR4ZY,SKADE,8,16,Inferno
Team1,CR4ZY,Spirit,9,16,Inferno
Team1,CR4ZY,Spirit,9,16,Train
Team1,CR4ZY,Sprout,11,16,Mirage
Team1,CR4ZY,Sprout,16,10,Dust2
Team1,CR4ZY,Sprout,16,13,Train
Team1,CR4ZY,Sprout,16,5,Mirage
Team1,CR4ZY,Unicorns of Love,16,14,Inferno
Team1,CR4ZY,Unicorns of Love,16,8,Mirage
Team1,CR4ZY,fnatic,16,13,Dust2
Team1,CR4ZY,fnatic,16,13,Train
Team1,CR4ZY,forZe,16,12,Train
Team1,CR4ZY,mousesports,13,16,Dust2
Team1,CR4ZY,mousesports,16,9,Nuke
Team1,CR4ZY,mousesports,7,16,Inferno
Team1,CR4ZY,mousesports,8,16,Train
Team1,CR4ZY,pro100,16,13,Inferno
Team2,CR4ZY,AVANGAR,25,28,Dust2
Team2,CR4ZY,Ancient,12,16,Inferno
Team2,CR4ZY,Astralis,11,16,Inferno
Team2,CR4ZY,DreamEaters,12,16,Inferno
Team2,CR4ZY,G2,13,16,Train
Team2,CR4ZY,GamerLegion,16,9,Inferno
Team2,CR4ZY,HAVU,13,16,Dust2
Team2,CR4ZY,Heretics,12,16,Nuke
Team2,CR4ZY,Heroic,16,19,Dust2
Team2,CR4ZY,Japaleno,16,8,Dust2
Team2,CR4ZY,Movistar Riders,16,8,Inferno
Team2,CR4ZY,NoChance,16,5,Dust2
Team2,CR4ZY,North,12,16,Inferno
Team2,CR4ZY,SJ,14,16,Inferno
Team2,CR4ZY,Sprout,12,16,Nuke
Team2,CR4ZY,pro100,23,25,Vertigo
