Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Finest,ATK,16,14,Mirage
Team1,Finest,Camel Riders,8,16,Nuke
Team1,Finest,Dawn of Stars,16,11,Dust2
Team1,Finest,Dawn of Stars,21,16,Overpass
Team1,Finest,JustPassingBy,16,10,Dust2
Team1,Finest,Nexus,16,11,Mirage
Team1,Finest,Nexus,16,12,Inferno
Team1,Finest,Salamander,16,12,Train
Team1,Finest,Salamander,21,18,Inferno
Team1,Finest,Yalla,16,13,Dust2
Team1,Finest,Yalla,19,17,Mirage
Team1,Finest,og3od,16,7,Dust2
Team1,Finest,shinelikedemons,16,13,Mirage
Team2,Finest,Camel Riders,16,7,Inferno
Team2,Finest,og3od,14,16,Vertigo
Team2,Finest,shinelikedemons,16,5,Dust2
