Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Brute,Ambush,12,16,Inferno
Team1,Brute,Ambush,16,13,Dust2
Team1,Brute,ECLOT,19,17,Mirage
Team1,Brute,ECLOT,7,16,Inferno
Team1,Brute,FATE,12,16,Vertigo
Team1,Brute,PACT,14,16,Dust2
Team1,Brute,Phoenix,8,16,Mirage
Team1,Brute,Rocketlauncher$,16,7,Inferno
Team1,Brute,Rocketlauncher$,8,16,Inferno
Team1,Brute,Rocketlauncher$,8,16,Mirage
Team1,Brute,Universe,16,13,Dust2
Team1,Brute,Universe,8,16,Inferno
Team1,Brute,eXtatus,16,10,Train
Team2,Brute,BIG,10,16,Mirage
Team2,Brute,BIG,14,16,Nuke
Team2,Brute,ECLOT,15,19,Nuke
Team2,Brute,Espada,14,16,Mirage
Team2,Brute,FATE,11,16,Dust2
Team2,Brute,PACT,16,19,Overpass
Team2,Brute,Phoenix,10,16,Dust2
Team2,Brute,Universe,10,16,Overpass
Team2,Brute,Universe,12,16,Inferno
